gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
50,x*x*x*x,25,-10,-0.0395,0.005646861443571025,-0.0395,0.011747950781410464,244.832,312.0252666666667,244.832,242.0952,-0.9875,0.29224937916612215,0,0.0032675467259181967,6120.8,6078.8,6120.8,6064.8,(((7)*((0)*(x)))*((0)*(x))),(((0)*((4)-(8)))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,AddTreeWithDiv,49,49,51,51,4
51,x*x*x*x,25,-10,-0.0395,0.01175588625203055,-0.0395,0.012162742498646305,244.832,242.02719999999997,244.832,238.5408,-0.9875,0.3375655843307132,0,0.02216553163166647,6120.8,5942.5199999999995,6120.8,5676.48,(((0)*((0)*(x)))*((0)*(x))),(((x)*(7))+((x)*(x))),MultXD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|SkipD|MultXD|ReplaceBranchXR,MultXD,ReplaceBranchR,47,51,52,52,4
52,x*x*x*x,25,-10,-0.0395,0.011699882835110259,-0.0395,0.012017943499449188,244.832,242.50709999999998,244.832,239.7816,-0.9875,0.31179864443490124,0,0.008015728320684834,6120.8,5995.639999999999,6120.8,5897.28,((0)*((0)*(x))),((x)*((4)*(x))),MultXD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,51,52,53,53,4
53,x*x*x*x,25,-10,-0.03949997957783296,0.011682226412980565,-0.039499959155665926,0.011885467819332675,244.842,242.6584,244.852,240.9168,-0.9874959155665927,0.31179864443490124,0.000002358148727238434,0.008517141914328964,6121.8,5996.639999999999,6122.8,5897.28,(((0)*(3))*((0)-(x))),(((x)*(3))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,53,53,54,54,4
54,x*x*x*x,25,-10,-0.039499959155665926,0.011774639636275373,-0.03949991831133185,0.01247175906044028,244.852,241.8665,244.872,235.8928,-0.9874959155665927,0.3295834344716844,0.000002358148727238434,0.0178670614999017,6121.8,5971.360000000001,6122.8,5744.88,(((1)+(0))*((0)-(x))),(((x)*(x))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,DeleteTerminalR,MutateTerminalR,53,53,55,55,4
55,x*x*x*x,25,-10,-0.039499938733498885,0.011685027167317069,-0.039499877466997776,0.012277853501876507,244.862,242.6344,244.892,237.5544,-0.9874959155665927,0.3182403794088542,0.000002358148727238434,0.014582817379602937,6121.8,6022.639999999999,6122.8,5842.08,(((0)*(0))-((9)-(x))),((x)*((5)*(x))),DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,DeleteTerminalR,AddXD,54,55,56,56,4
56,x*x*x*x,25,-10,-0.03949993873349889,0.012071776331758688,-0.03949983662266371,0.016412887204287022,244.862,239.32029999999997,244.912,202.12080000000003,-0.9874959155665927,0.5119965644080139,0.000002358148727238434,0.10990727684020182,6121.8,5593.400000000001,6122.8,4181.76,(((0)-(9))*((0)-(x))),(((x)*((3)*(x)))*((2)+((x)*(x)))),ReplaceBranchR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,SubXD,AddXD,56,55,57,57,4
57,x*x*x*x,25,-10,-0.039499969366749446,0.01244754420523928,-0.03949991831133185,0.01759975353361839,244.847,236.10029999999998,244.872,191.9504,-0.9874959155665927,0.5813619134753627,0.000002358148727238434,0.14570308764627976,6121.8,5458.48,6122.8,3587.36,(((x)*(0))*((0)-(x))),(((x)*((7)*(x)))+((1)+((x)*(x)))),DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,DeleteTerminalR,AddXD,54,55,58,58,4
58,x*x*x*x,25,-10,-0.03949992852241537,0.012776551151110037,-0.039499877466997776,0.01663676083425136,244.86700000000002,233.28099999999998,244.892,200.2024,-0.9874959155665927,0.43045726982467286,0.000002042216703690425,0.06349324900454255,6122.3,5667.78,6122.8,4880.48,(((0)*(0))+((3)-(x))),(((x)+((x)*(x)))+((5)+((x)*(x)))),DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchR,54,55,59,59,4
59,x*x*x*x,25,-10,-0.03949992852241537,0.011846689041581869,-0.03949983662266371,0.01272420038463693,244.86700000000002,241.2491,244.912,233.7296,-0.9874959155665927,0.35028100901842896,0.000002042216703690425,0.03088756490312393,6122.3,5958.51,6122.8,5567.52,(((x)*(0))*((0)-(x))),(((x)*(9))+((x)*(x))),ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|SubXD|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|AddXD|MultXD|ReplaceBranchXR,ReplaceBranchXR,AddXD,59,58,60,60,4
