gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.039314659848385836,0.01133096513994436,-0.039008036531172394,0.011502231267621415,335.58639999999997,245.66839999999996,485.7288,244.20080000000002,-0.9383413932819239,0.2881789495304069,0.025507965262854353,0.001329898945035875,17331.88,6114.77,30192,6099.68,((((2)+(x))*((x)*(8)))*((7)*((x)-((x)-(x))))),(((6)*(4))+((x)+(x))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,21,20,22,22,3
22,x*x*x*x,25,-10,-0.03928147586916743,0.012338373135164407,-0.03852034129525552,0.015028754411188084,351.8354,237.03580000000002,724.5355999999999,213.9816,-0.9466344268723043,0.6403924790410217,0.02179761381190434,0.1771103683925537,10294.720000000001,5358.04,26131.2,3081.52,((((8)*(8))*((0)+(9)))*((x)*((x)-((x)-(x))))),((((x)*(5))+((x)*((5)*(7))))*(((x)-(0))+((7)-((3)+(x))))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,22,22,23,23,3
23,x*x*x*x,25,-10,-0.03950905232976081,0.011322364490169354,-0.039499581754019075,0.012444218309464683,240.39939999999999,245.7421,245.0368,236.1288,-0.9874874199451051,0.3602703661519503,0,0.035100959676727474,6126.96,5890.42,6126.96,5481.92,((((x)*(0))*((9)*(5)))*((x)-((x)-((x)-(x))))),((((x)+(5))*((3)*((3)*(x))))-((1)-((3)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,19,22,24,24,3
24,x*x*x*x,25,-10,-0.03931990548621095,0.011484014694624421,-0.038637594758855046,0.011623550609630863,333.01779999999997,244.3569,667.1208,243.16120000000004,-0.9050919814403346,0.2965532049965458,0.041892833172759054,0.006132907564736157,15732.779999999999,6101.79,46473.04,6027.92,((((9)*(9))+((1)*(x)))*((x)*((x)-((x)-(x))))),((((x)-(0))*((x)-((9)-(8))))-((x)-((x)+((x)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,23,24,25,25,3
25,x*x*x*x,25,-10,-0.039076853107436936,0.010092656038667039,-0.03804367566331199,0.013838947289803389,452.0318,266.061,957.9416,224.1772,-0.903335348320481,0.506385719887223,0.04020302236493722,0.11029907618312722,21456,5647.58,47333.2,4229.84,((((x)*(x))*((8)*(x)))*((1)+((x)-((x)-(x))))),((((6)+(0))*((2)*((x)*(1))))*(((x)*(x))-((0)+((x)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,23,25,26,26,3
26,x*x*x*x,25,-10,-0.03941253921056071,0.010387743933493874,-0.03890937622533002,0.012391097335549042,287.65840000000003,254.975,534.0391999999999,236.584,-0.9290463664880407,0.331590641746177,0.02978905106878414,0.021878457333398296,12891.1,5965.67,34743.44,5727.68,((((x)*(7))*((8)*(x)))*((4)+((x)-((x)-(x))))),((((x)*(4))-((3)+((7)*(0))))*(((7)*(x))-((0)+((x)+(x))))),DeleteMaliciousR|MultXD|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,26,25,27,27,3
27,x*x*x*x,25,-10,-0.03870853278983139,0.01140068058330377,-0.03663405600575088,0.01181451537614131,632.3849999999999,245.07100000000003,1648.1816000000001,241.5248,-0.8485920141158019,0.32033160931344185,0.06579098489149034,0.016823468194681647,26787.739999999998,6040.38,74139.04,5824.16,((((9)*(7))*((9)+((x)*(3))))*((5)*((x)-((x)-(x))))),((((0)+(2))*((x)*((5)*(0))))*(((x)-(x))-((x)+((x)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,23,27,28,28,3
28,x*x*x*x,25,-10,-0.038344868317866945,0.0114514909348918,-0.03470848745262057,0.012217777321358557,810.4584000000001,244.6356,2591.0632000000005,238.06920000000002,-0.5184551039079859,0.3249155105775156,0.2355102249659639,0.019304529231229016,62825.76,6032.93,235795.2,5784.88,((((5)*(8))+((8)*((9)*(6))))*((x)*((x)-((x)-(x))))),((((6)-(6))+((2)*((x)*(x))))*(((5)-(7))-((5)-((0)+(x))))),AddRandomSubTreeR|AddTreeWithMult|DeleteMaliciousR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|SkipD|ReplaceBranchR,SubXD,ReplaceBranchR,28,26,29,29,3
29,x*x*x*x,25,-10,-0.039061917151352765,0.011005610844520793,-0.03769772251993204,0.01149438915547921,459.3454,248.4564,1127.3424,244.268,-0.8107660763298915,0.2893459305039491,0.08949023358659251,0.0016403679445728687,26972.079999999998,6110.73,92661.04,6089.68,((((9)*(5))*((4)*((6)*(7))))+((7)*((x)-((x)-(x))))),((((8)+(1))+((5)*(7)))-((x)-((x)+(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,29,29,30,30,3
30,x*x*x*x,25,-10,-0.038582694664096195,0.010776240734171072,-0.03666861031237747,0.01163816121141961,694.0033999999999,250.4219,1631.2616,243.03599999999997,-0.8844329172657169,0.2951714995238718,0.052728199579835155,0.003990031789729867,26091.12,6090.57,56589.04,6039.76,((((x)*(x))*((9)*((x)*(3))))*((3)+((1)-((x)-(x))))),((((8)*(6))*((5)+((5)-(7))))+((0)-((8)*((0)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|SubXD|SubXD,ReplaceBranchXR|AddXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR,SubXD,ReplaceBranchR,30,29,31,31,3
