gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x*3*x+1,25,-10,-0.023077819905467072,0.011428571428571425,0.009370101003297963,0.011428571428571425,100322.5642,8451.128,304532.1336,8451.128,0.5000007137498556,0.28571428571428564,0.7315776360315016,0,2787048.72,211278.2,10563925.08,211278.2,((((x)*((x)*(x)))*((x)*((0)+(9))))*(((4)*(4))+((1)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|ReplaceBranchXR|MultXD|AddToLeafR|FellTreeD,AddXD,AddXD,31,31,32,32,3
32,x*x*x*x*3*x+1,25,-10,-0.00945161755040081,0.011428571428571425,0.014060003709653808,0.011428571428571425,419401.24199999997,8451.128,1163117.3444,8451.128,0.9314788331374887,0.28571428571428564,0.7187198809530355,0,26960563.619999997,211278.2,77085012.44,211278.2,((((x)*((7)+(x)))*((x)*((9)*(8))))*(((6)+(4))*((x)+((1)+((x)*(x)))))),(0),AddXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,ReplaceBranchR,MultXD,32,32,33,33,3
33,x*x*x*x*3*x+1,25,-10,-0.018460547748478356,0.011428571428571425,0.011229980122132442,0.011428571428571425,188894.79479999997,8451.128,540186.1163999999,8451.128,0.7007522210521407,0.28571428571428564,0.8137897796436313,0,7828243.680000001,211278.2,17650774.28,211278.2,((((8)*((3)-(x)))*((3)+((9)*(x))))*(((x)*(3))*((x)+((1)+((x)*(x)))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddXD,MultXD,33,33,34,34,3
34,x*x*x*x*3*x+1,25,-10,-0.008399425051184491,0.011428571428571425,0.02965971150791554,0.011428571428571425,435271.3019000001,8451.128,1422042.1924,8451.128,0.9416925128561829,0.28571428571428564,0.713745851060487,0,24891447.660000004,211278.2,90587937.48,211278.2,((((x)*((x)*(x)))*((8)*((x)*(3))))*(((x)+(7))+((4)*((4)+((x)*(x)))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteNonTerminalR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,DeleteNonTerminalR,MultXD,34,34,35,35,3
35,x*x*x*x*3*x+1,25,-10,-0.0029222954723612327,0.0025556827733263774,0.031176636039870392,0.014496915847040942,508245.02339999995,7364848.9189,1260863.8783999998,7543.544000000002,0.9063614287881956,0.28571428571428564,1.0708402036158238,0,24182632.86,211278.2,56407898.28,211278.2,((((9)*((9)*(x)))*((x)*((x)+(1))))*(((3)*(x))+((9)*((3)+((x)*(x)))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddRandomSubTreeR,MultXD,35,35,36,36,3
36,x*x*x*x*3*x+1,25,-10,-0.006016221057541766,0.011428571428571425,0.025837454429877598,0.011428571428571425,1042034.2826000002,8451.128,3165310.2832,8451.128,0.9812560305039344,0.28571428571428564,1.0687402971708266,0,88846730.92000002,211278.2,281794899.48,211278.2,((((x)*((x)*(x)))*((x)*((7)*(7))))*(((x)+(9))*((8)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddXD,MultXD,36,36,37,37,3
37,x*x*x*x*3*x+1,25,-10,-0.009628909642144707,0.011428571428571425,0.007607536994854159,0.011428571428571425,449137.90309999994,8451.128,1049648.2744,8451.128,0.9247923924432303,0.28571428571428564,0.8908241603534016,0,27790128.68,211278.2,70231658.36,211278.2,((((x)+((5)*(x)))*((x)*((5)*(7))))*(((x)+(9))*((x)+((1)+((x)*(x)))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddTreeWithMult,MultXD,37,37,38,38,3
38,x*x*x*x*3*x+1,25,-10,-0.030837992950190324,0.011428571428571425,-0.011335496688799905,0.011428571428571425,87359.565,8451.128,307269.6408,8451.128,0.7890260895276446,0.28571428571428564,0.8384922734815029,0,6841023.399999999,211278.2,25036057.72,211278.2,((((x)*((5)+(8)))*((2)-((9)*(x))))*(((x)*(3))*((x)+((5)*(x))))),(0),MutateTerminalR|AddTreeWithMult|MultXD|FellTreeD|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,MultXD,MultXD,38,38,39,39,3
39,x*x*x*x*3*x+1,25,-10,-0.021832862117932353,0.011428571428571425,-0.0038485569067151794,0.011428571428571425,124156.02099999998,8451.128,294748.4792,8451.128,0.7265884624603185,0.28571428571428564,0.754896473754221,0,7645845.34,211278.2,19318698.28,211278.2,((((7)+((0)*(x)))*((x)*((3)*(6))))*(((8)*(3))*((x)+((1)*(x))))),(0),MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddRandomSubTreeR,MultXD,39,39,40,40,3
40,x*x*x*x*3*x+1,25,-10,-0.02219448413424575,0.011428571428571425,0.006541840780317137,0.011428571428571425,205435.6428,8451.128,691382.7456,8451.128,0.9020719665255236,0.28571428571428564,0.8199487852796395,0,14806806.46,211278.2,53937108.84,211278.2,((((8)+((9)*(x)))*((9)*((6)*(x))))*(((3)*(3))*((x)+((4)*(x))))),(0),MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithAdd|AddRandomSubTreeR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,MutateTerminalR,MultXD,40,40,41,41,3
