gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x*x*x,25,-10,-0.03793718651973598,0.01142857142857143,-0.03349999183113319,0.01142857142857143,1010.0855,244.832,3182.82,244.832,-0.4500040844334074,0.28571428571428575,0.26482796297928113,0,74990.05,6120.8,269313.2,6120.8,((((x)*(5))*((x)*(x)))*((x)*((9)-(x)))),(0),MultXD|DeleteMaliciousR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult,AddTreeWithSub|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,FellTreeD,32,32,33,33,0
33,x*x*x*x,25,-10,-0.033889467267350676,0.01142857142857143,-0.020491465984838583,0.01142857142857143,2992.1079000000004,244.832,9552.6268,244.832,-0.0015981571036465774,0.28571428571428575,0.48802978337893277,0,130583.68,6120.8,488881.44,6120.8,((((x)*(7))*((x)*(x)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,33,33,34,34,0
34,x*x*x*x,25,-10,-0.03881173008430271,0.01142857142857143,-0.036747492157887855,0.01142857142857143,581.8530000000001,244.832,1592.6359999999997,244.832,-0.7875040844334075,0.28571428571428575,0.09999557520177624,0,30605.250000000004,6120.8,104051.6,6120.8,((((x)*(x))*((x)*(x)))*((3)*((6)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,34,34,35,35,0
35,x*x*x*x,25,-10,-0.033556523861259964,0.01142857142857143,-0.023611855476408313,0.01142857142857143,3155.1383,244.832,8024.684399999999,244.832,-0.33769727813357736,0.28571428571428575,0.3148931682850012,0,139222.42,6120.8,324305.8,6120.8,((((6)*(x))*((x)*(9)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|AddRandomSubTreeR|DeleteTerminalR|FellTreeD,MultXD,SubXD,35,35,36,36,0
36,x*x*x*x,25,-10,-0.03823048988694288,0.01142857142857143,-0.034374738596261924,0.01142857142857143,866.4654,244.832,2754.488,244.832,-0.5125040844334073,0.28571428571428575,0.23749183141416497,0,64272.4,6120.8,238709.2,6120.8,((((x)*(x))*((5)*(8)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|AddTreeWithMult|FellTreeD,AddTreeWithMult,SubXD,36,36,37,37,0
37,x*x*x*x,25,-10,-0.03707675140504509,0.01142857142857143,-0.029874513952424523,0.01142857142857143,1431.4095999999997,244.832,4958.085999999999,244.832,-0.4500040844334074,0.28571428571428575,0.26874523483458873,0,71920.9,6120.8,269313.2,6120.8,((((x)*(x))*((x)*(x)))*((5)*((9)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,37,37,38,38,0
38,x*x*x*x,25,-10,-0.036679465477007366,0.01142857142857143,-0.031449379166122074,0.01142857142857143,1625.9462166666667,244.832,4186.9312,244.832,-0.3472841785387531,0.28571428571428575,0.30689233349554534,0,124251.66,6120.8,319611.44,6120.8,((((x)*(8))*((8)*(x)))*((x)*((9)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MutateTerminalR,FellTreeD,38,38,39,39,0
39,x*x*x*x,25,-10,-0.03924960871127957,0.01142857142857143,-0.03887326411580186,0.01142857142857143,367.4396,244.832,551.7220000000001,244.832,-0.9250245066004444,0.28571428571428575,0.030582185691860542,0,19055.620000000003,6120.8,36712.8,6120.8,((((7)*(x))*((x)*(x)))*((x)-((x)*(6)))),(0),MultXD|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,FellTreeD,39,39,40,40,0
40,x*x*x*x,25,-10,-0.03857002965298654,0.01142857142857143,-0.03687812214089661,0.01142857142857143,700.205,244.832,1528.6712,244.832,-0.8706471376290681,0.28571428571428575,0.061554968747316155,0,31920.620000000003,6120.8,63339.44,6120.8,((((x)*(4))*((5)*(x)))*((6)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,40,40,41,41,0
41,x*x*x*x,25,-10,-0.03394408757842112,0.01142857142857143,-0.018501216344268726,0.01142857142857143,2965.3623,244.832,10527.180400000001,244.832,-0.11250408443340743,0.28571428571428575,0.42069153667475945,0,128673.45999999999,6120.8,434574.8,6120.8,((((x)*(x))*((9)*(8)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,SubXD,41,41,42,42,0
42,x*x*x*x,25,-10,-0.03940004349921579,0.01142857142857143,-0.039100731930466606,0.01142857142857143,293.7771,244.832,440.33920000000006,244.832,-0.9601697490524115,0.28571428571428575,0.013661301287561324,0,9469.27,6120.8,19503.44,6120.8,((((x)*(x))*((x)*(2)))*((7)*((3)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,DeleteMaliciousR,FellTreeD,42,42,43,43,0
43,x*x*x*x,25,-10,-0.035696425508103515,0.01142857142857143,-0.02603720755456803,0.01142857142857143,2107.3054999999995,244.832,6837.076799999999,244.832,-0.3125040844334074,0.28571428571428575,0.3251057179803627,0,99968.26,6120.8,336642,6120.8,((((x)*(x))*((x)*(8)))*((x)*((7)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,FellTreeD,43,43,44,44,0
44,x*x*x*x,25,-10,-0.037565802877074894,0.01142857142857143,-0.031764906548163635,0.01142857142857143,1191.9387000000002,244.832,4032.4288,244.832,-0.4500040844334074,0.28571428571428575,0.26874251204452115,0,71922.9,6120.8,269313.2,6120.8,((((x)*(x))*((9)*(5)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,DeleteMaliciousR,FellTreeD,44,44,45,45,0
45,x*x*x*x,25,-10,-0.039499795778329634,0.01142857142857143,-0.03949967324532741,0.01142857142857143,244.93200000000002,244.832,244.99200000000002,244.832,-0.9874857044830742,0.28571428571428575,0.0000053709393373563285,0,6125.05,6120.8,6127.8,6120.8,((((x)*(x))*((x)*(9)))*((5)*((0)-(7)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|ReplaceBranchXR|DeleteTerminalR|FellTreeD,AddTreeWithMult,AddTreeWithAdd,45,45,46,46,0
46,x*x*x*x,25,-10,-0.036598851048882504,0.01142857142857143,-0.03308734070709711,0.01142857142857143,1665.4202000000002,244.832,3384.8804000000005,244.832,-0.39999999999999997,0.28571428571428575,0.3082423926599581,0,137004.46000000002,6120.8,293798.4,6120.8,((((x)*(x))*((7)*(7)))*((x)*((x)-(0)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,FellTreeD,46,46,47,47,0
47,x*x*x*x,25,-10,-0.038347970036596526,0.01142857142857143,-0.035229589269376554,0.01142857142857143,808.9396,244.832,2335.8983999999996,244.832,-0.7125040844334074,0.28571428571428575,0.1327769695366771,0,43974.35999999999,6120.8,140776.4,6120.8,((((x)*(4))*((6)*(x)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,FellTreeD,47,47,48,48,0
