gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
34,x*x*x*x,25,-10,-0.03949994894458241,0.00002628794707871356,-0.03949983662266371,0.00018951771010325446,244.857,244.6711,244.912,243.672,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.004409196040299414,6121.8,6105.1900000000005,6122.8,6064.8,((0)-(x)),((x)-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,SubXD,34,34,35,35,3
35,x*x*x*x,25,-10,-0.04203463507629721,0.0002034875824372794,-0.03950006330871782,0.0012285975689452359,227.87245000000001,243.58649999999997,244.80100000000002,237.312,-0.9874959155665927,0.05228074761469089,0.000002042216703690425,0.02473333793154333,6121.3,6013.360000000001,6122.8,5800.8,(((0)*(x))*((0)-(x))),(((x)+(0))*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,SubXD,35,35,36,36,3
36,x*x*x*x,25,-10,-0.039499938733498885,0.00004860562466163298,-0.039499877466997776,0.0000980264017775454,244.862,244.5345,244.892,244.232,-0.9874959155665927,0.009149130832570905,0.000002042216703690425,0.005378201802251027,6122.3,6093.3,6122.8,6064.8,((0)-(x)),((x)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,DeleteTerminalR,36,36,37,37,3
37,x*x*x*x,25,-10,-0.039499969366749446,0.00006058031629852332,-0.039499959155665926,0.00020036596523330334,244.847,244.46120000000002,244.852,243.6056,-0.9874959155665927,0.009149130832570905,0.000002042216703690425,0.004310764811298242,6122.3,6103.88,6122.8,6064.8,(((x)*(x))*((0)-(x))),((x)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|AddTreeWithDiv|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchXR,37,37,38,38,3
38,x*x*x*x,25,-10,-0.03920741406352111,-0.004862783286462347,-0.038270750555482944,0.0006253430924062217,388.1008,310.6089,846.7512000000002,241.00439999999998,-0.8645873088485166,0.009149130832570905,0.06251093641605925,0.004609816684096126,20443.68,6106.84,66306.72,6064.8,((((x)/(1))*((x)*(x)))*((x)-((x)*(x)))),((x)+((0)*(x))),MultXD|DeleteNonTerminalR|SubXD|AddTreeWithDiv|MultXD,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|MutateNonTerminalR,MultXD,MutateNonTerminalR,38,38,39,39,3
39,x*x*x*x,25,-10,-0.044583968905208465,-0.02223851252931955,-0.03949652823160371,0.0004663442687230436,NaN,NaN,246.532,241.9776,-0.9873856358645929,0.010090184289635377,0.00013300413719179494,0.0074831331989991465,6121.04,6119.76,6176.8,6059.04,(((0)*((x)-(9)))-((x)*(x))),(((x)+(3))-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|MultXD,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,MultXD,SubXD,39,39,40,40,3
40,x*x*x*x,25,-10,-0.03950608318006983,-0.01998545184065588,-0.03949868807998955,0.00007012931910382978,241.85328571428573,511.3225,245.47439999999997,244.87279999999998,-0.9873856358645929,0.0725918180629984,0.00005558410484349042,0.036214957418632905,6135.978571428572,6008.969999999999,6176.8,5676.48,(((x)*((1)/(5)))*((0)-((x)*(x)))),(((x)*((9)-(x)))*((0)-((x)*(x)))),AddTreeWithMult|DeleteNonTerminalR|SubXD|AddTreeWithDiv|MultXD,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,AddTreeWithMult,SubXD,40,40,41,41,3
41,x*x*x*x,25,-10,-0.04962312223036516,-0.01869830963990217,-0.03949561495229382,0.008928636779505948,NaN,NaN,246.97920000000002,190.1816,-0.9873938047314077,0.03398248594954908,0.00004950720571814277,0.017779987636597872,6136.734285714286,6075.1,6172.8,5912.8,(((8)/(4))-((x)*(x))),((((x)*(x))-((0)*(0)))-((x)*((1)-((x)*(x))))),AddTreeWithMult|DeleteNonTerminalR|SubXD|AddTreeWithDiv|DeleteMaliciousR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteNonTerminalR,AddTreeWithMult,SubXD,41,41,42,42,3
42,x*x*x*x,25,-10,-0.05212303691919358,-0.0214488743865711,-0.039372712717291855,0.0004849039341262583,NaN,NaN,307.16,241.864,-0.9751143641354072,0,0.00613563586459287,0.2725906096654946,7679,8027.82,12185.6,6120.8,((((x)*(6))/((2)*(x)))*((x)-((x)*(x)))),((x)*(0)),DeleteTerminalR|DeleteNonTerminalR|SubXD|DivXD|MultXD,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchXR,42,42,43,43,3
43,x*x*x*x,25,-10,-0.04962293702075981,-0.00883182990248188,-0.039495452664139764,0.0014742423959519793,184.6341666666667,479.29325714285716,247.05866666666665,235.80845714285715,-0.9873856358645929,0.0725918180629984,0.00005429413018852565,0.03618731863577183,6137.1,6008.719999999999,6176.8,5676.48,((((x)*(x))*((0)*(3)))/((7)-((x)*(x)))),(((x)*(8))-((0)*(x))),AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithDiv|MultXD,AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR,ReplaceBranchR,ReplaceBranchXR,43,43,44,44,3
