gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
36,x*x*x*x,25,-10,-0.0395,0.000021745923734305724,-0.0395,0.000053195660697947146,244.832,244.69889999999998,244.832,244.50639999999999,-0.9875,0.0015161416808259943,0,0.0006904015140387426,6120.8,6115.51,6120.8,6111.52,(0),((8)+(4)),ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,ReplaceBranchR,FellTreeD,36,36,37,37,1
37,x*x*x*x,25,-10,-0.0395,0.00007706568981003003,-0.0395,0.00017285322180107202,244.832,244.36030000000002,244.832,243.774,-0.9875,0.0052476800418245805,0,0.0030797487213828465,6120.8,6105.219999999999,6120.8,6088.68,(0),((7)*(7)),MultXD|AddToLeafR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,37,37,38,38,1
38,x*x*x*x,25,-10,-0.03950533917135015,0.000009245014466381737,-0.03947941445562672,0.00005326101163246694,242.21760000000003,244.7755,254.912,244.50599999999997,-0.9875,0.0010194745784864367,0,0.0003504002704276829,6120.8,6116.77,6120.8,6114.56,(0),((7)+(1)),SkipD|AddToLeafR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,SkipD,AddXD,38,38,39,39,1
39,x*x*x*x,25,-10,-0.039171023804077894,0.00002568751714261431,-0.03816411743562933,0.00006940269245850293,405.9198,244.6748,898.9656000000001,244.40720000000002,-0.8539117435629329,0.0015945628022481077,0.06713369714177428,0.0004989691141121036,22229.58,6115.1,71534.16,6111.04,((((x)*(1))-((6)*(x)))*((x)*((3)*((8)-(0))))),((2)+((8)+(x))),AddTreeWithMult|AddToLeafR|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddTreeWithDiv|DeleteNonTerminalR|SubXD|AddXD|ReplaceBranchR,AddTreeWithSub,AddTreeWithDiv,39,39,40,40,1
40,x*x*x*x,25,-10,-0.04708917543458372,0.000056138186368718706,-0.039481701738334866,0.00014952293817801815,201.16600000000003,244.48839999999996,253.792,243.9168,-0.9875,0.005933864854267517,0,0.002441906992804245,6120.8,6103.31,6120.8,6084.48,(0),((8)*(7)),AddTreeWithMult|AddToLeafR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|SubXD|AddXD|ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,40,40,41,41,1
41,x*x*x*x,25,-10,-0.0395,0.00006425630636518202,-0.0395,0.0001710887465690793,244.832,244.43870000000004,244.832,243.78479999999996,-0.9875,0.006620049666710305,0,0.003097208589681173,6120.8,6108.650000000001,6120.8,6080.28,(0),((9)*(7)),AddTreeWithMult|AddToLeafR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,FellTreeD,41,41,42,42,1
42,x*x*x*x,25,-10,-0.0395,0.00002357661690548364,-0.0395,0.00010547640831264101,244.832,244.6877,244.832,244.1864,-0.9875,0.0033851784080512768,0,0.0015891557099448745,6120.8,6114.59,6120.8,6100.08,(0),((5)*(6)),AddTreeWithMult|AddToLeafR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|AddToLeafR|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,42,42,43,43,1
43,x*x*x*x,25,-10,-0.03950788254803294,0.00004922559142595831,-0.039481701738334866,0.00015716899751666715,240.97220000000002,244.5307,253.792,243.87,-0.9875,0.005933864854267517,0,0.002819966655669094,6120.8,6110.12,6120.8,6084.48,(0),((7)*(8)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,43,43,44,44,1
44,x*x*x*x,25,-10,-0.0395,0.000034496486915725326,-0.0395,0.00009691543589073422,244.832,244.6209,244.832,244.23879999999997,-0.9875,0.0051496536400471235,0,0.002284318211335036,6120.8,6107.88,6120.8,6089.28,(0),((8)*(6)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,FellTreeD,DeleteNonTerminalR,44,44,45,45,1
45,x*x*x*x,25,-10,-0.0395,0.00005247039191408333,-0.0395,0.0001305711671676921,244.832,244.51089999999996,244.832,244.03280000000004,-0.9875,0.006620049666710305,0,0.003139278688830949,6120.8,6103.98,6120.8,6080.28,(0),((7)*(9)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,45,45,46,46,1
