gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.04100652398379297,0.01146216881079971,-0.03839888903411319,0.011563007636723492,228.53169999999997,244.54410000000004,245.002,243.68000000000004,-0.9599411841589336,0.290531583173068,0.000024669436790175166,0.0022797492285734065,6126.05,6106.18,6129.8,6079.52,((0)-(9)),((x)-((7)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithAdd,MultXD,31,31,32,32,1
32,x*x*x*x,25,-10,-0.038415328715200626,0.011337231827772283,-0.038398692981309636,0.011950445319939506,242.4864,245.6147,245.032,240.36,-0.9599411841589336,0.3050488264839331,0.000022872827081410474,0.00824349324339186,6124.55,6055.54,6129.8,5955.12,(((0)*((0)+(2)))-((2)*((x)-(9)))),(((x)*((3)+(8)))-((9)+((0)*(x)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,MutateTerminalR,32,32,33,33,1
33,x*x*x*x,25,-10,-0.0384099928113972,0.007140167470708202,-0.03839915043785127,0.012495098679911125,243.30290000000002,331.8642,244.96200000000002,235.69279999999998,-0.9599542543458373,0.33061037772840157,0.00001633773362957891,0.021288968012773257,6124.05,5982.700000000001,6127.8,5736.08,((0)-(7)),((((0)*(2))+((2)*(9)))+((9)*((x)-((5)*(x))))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|FellTreeD,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,FellTreeD,MutateTerminalR,33,33,34,34,1
34,x*x*x*x,25,-10,-0.03844982093843942,0.011003183524095825,-0.0383985622794406,0.011584993558265028,237.20840000000004,248.4772,245.05200000000002,243.4916,-0.9599477192523854,0.28772149298877836,0.000022638227781565886,0.0010036036372463033,6123.8,6116.5,6128.8,6103.6,((0)-(8)),((x)*(9)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,MutateTerminalR,AddTreeWithAdd,34,34,35,35,1
35,x*x*x*x,25,-10,-0.0383994575872435,0.013425299213921618,-0.03839875833224416,0.025161603525216125,244.915,227.72180000000003,245.02200000000002,127.15199999999999,-0.9599542543458373,0.9228765614205426,0.000019634303732397705,0.3136123586200315,6124.1,4689.52,6127.8,660.88,(((0)*(x))*((x)-(7))),((((x)*(x))*((x)+(3)))+((8)*((x)+((2)*(x))))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,MutateTerminalR,35,35,36,36,1
36,x*x*x*x,25,-10,-0.03844539668017253,0.010836877065556328,-0.03839908508691675,0.016281718542860882,237.8854,249.9023,244.972,203.2448,-0.9599477192523854,0.5022872827081428,0.000024741464496127324,0.10794637710043122,6123.3,5652.45,6128.8,4264.96,(((3)*(4))*((0)-(8))),(((x)*((4)*(0)))+((x)-((0)*(9)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithAdd,36,36,37,37,1
37,x*x*x*x,25,-10,-0.03839960789439289,0.011489254439195623,-0.03839947719252386,0.011907033627723735,244.892,244.312,244.912,240.73199999999997,-0.9599869298130964,0.3182403794088542,0,0.01610534743369995,6122.8,6006.780000000001,6122.8,5842.08,(((4)-((2)*(0)))*((x)*((x)-(x)))),((x)*((5)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,SubXD,AddTreeWithAdd,37,37,38,38,1
38,x*x*x*x,25,-10,-0.038399603319827474,0.009196547659054562,-0.03839933342046792,0.011499570551001738,244.8927,265.93010000000004,244.93399999999997,244.2236,-0.9599725526075022,0.29000877569692113,0.000006833262380291503,0.0019873883558896334,6123.6,6106.8,6125,6084,(((x)*((0)*(x)))+((x)*((x)-(x)))),(((x)-(5))-((4)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR,DeleteTerminalR|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,DeleteTerminalR,38,38,39,39,1
39,x*x*x*x,25,-10,-0.03839939550385571,0.009928293777828081,-0.03839901973598223,0.011647310342252184,244.9245,258.39959999999996,244.982,242.95759999999999,-0.9599411841589336,0.2987658009223818,0.000022872827081410474,0.007705675900382619,6124.55,6092.04,6129.8,6008.96,(((x)*((x)*(0)))*((6)-((6)+(3)))),((x)*((2)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,SubXD,AddTreeWithAdd,39,39,40,40,1
40,x*x*x*x,25,-10,-0.041005210103254475,0.0032326419375565585,-0.03839732061168475,0.013969975913512709,NaN,NaN,245.24200000000002,223.0544,-0.959882368317867,0.28667587803648453,0.00005345876875271964,0.0002405490986131378,6126.55,6120.13,6138.8,6112.56,(((2)*((x)*(0)))*((x)-((6)*(3)))),((x)+(8)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|MutateTerminalR,AddTreeWithSub,MutateTerminalR,40,40,41,41,1
41,x*x*x*x,25,-10,-0.03840494575872435,0.011842569598745266,-0.038398875963926285,0.01431894990384077,244.0752,241.28439999999998,245.004,220.06400000000002,-0.9599411841589336,0.4284313908546035,0.000022872827081410474,0.0683717788841433,6124.55,5773.85,6129.8,4897.84,((0)-(9)),(((x)*((2)*(x)))*((x)-((8)*(x)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|AddTreeWithAdd|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithAdd,41,41,42,42,1
42,x*x*x*x,25,-10,-0.03841525290811659,0.008888492634016098,-0.0383992811397203,0.01201943723509532,242.49800000000002,335.1512,244.942,239.76879999999997,-0.9599803947196446,0.2987658009223818,0.000003267546725915782,0.0048606956503254315,6123.05,6061.26,6123.8,6008.96,((0)-(3)),((x)+((x)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,DeleteTerminalR|MultXD|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,42,42,43,43,1
