gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
89,x*x*x*x*3*x+1,25,-10,-0.038400000586903904,0.0000015927991801728341,-0.0384,0.000005422234759670231,8451.1249,8450.7915,8451.128,8449.9824,-0.96,0.00023854803761118413,0,0.00010333376552476373,211278.2,211260.53999999998,211278.2,211227.8,((((x)*(3))*((x)*(0)))*((3)*((9)*(0)))),(((7)+((2)*(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,89,89,90,90,2
90,x*x*x*x*3*x+1,25,-10,-0.03840067997550149,0.0000013546120707235947,-0.0384,0.0000036009394248944994,8447.5364,8450.8418,8451.128,8450.3672,-0.96,0.0001194633426450045,0,0.00004546542133922141,211278.2,211267.34999999998,211278.2,211252.96,(0),(((5)-((0)*(x)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,90,90,91,91,2
91,x*x*x*x*3*x+1,25,-10,-0.038399992711032185,0.0000001790935612844067,-0.03839997084412874,0.0000023665479921733526,8451.1665,8451.090199999999,8451.282,8450.628,-0.9599970844128737,0.000069671172889589,0.000001457793563142129,0.000015070284643602349,211282.05000000002,211272.77,211293.6,211263.48,((((x)*(x))+((x)*(x)))*((0)*((0)-((2)+(1))))),(((x)-((0)+(7)))*((6)+(x))),AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|MutateNonTerminalR|MultXD|FellTreeD|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,MultXD,91,91,92,92,2
92,x*x*x*x*3*x+1,25,-10,-0.03840193481390886,0.0000017020214020876752,-0.038399990760996636,0.000004801252566524163,8440.9084,8450.768399999999,8451.176800000001,8450.1136,-0.96,0.00017947899972648766,0,0.00006583324212699324,211278.2,211260.61,211278.2,211240.28,(0),(((5)-((4)*(0)))*((x)+(x))),AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,92,92,93,93,2
93,x*x*x*x*3*x+1,25,-10,-0.041003775798922934,0.0000009216740581201977,-0.038336160001363126,0.000003316953665833697,7902.9889,8450.9333,8788.328000000001,8450.4272,-0.96,0.0001499444807842083,0,0.00006076331837516158,211278.2,211265.58000000002,211278.2,211246.52,(((0)*((3)*(x)))+((5)+(4))),(((4)-((8)*(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddToLeafR,ReplaceBranchR,93,93,94,94,2
94,x*x*x*x*3*x+1,25,-10,-0.03840016660497865,0.0000002373231192848525,-0.0384,0.00000251232734849338,8450.248,8451.077899999998,8451.128,8450.5972,-0.96,0.00006153024779650717,0,0.000017766456150308632,211278.2,211268.55,211278.2,211265.2,(((x)*((x)*(x)))*((4)+((3)*(0)))),(((1)-((0)*(3)))+((x)+(x))),SubXD|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,ReplaceBranchR,94,94,95,95,2
95,x*x*x*x*3*x+1,25,-10,-0.0384,0.000004608727941398609,-0.0384,0.000016929337716812343,8451.128,8450.1543,8451.128,8447.551199999998,-0.96,0.0013608597574194527,0,0.0006516504916297831,211278.2,211196.76,211278.2,210990.68,((((4)-(x))-((7)*(7)))*((9)*((3)*(0)))),(((5)*((9)-(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,MultXD,95,95,96,96,2
96,x*x*x*x*3*x+1,25,-10,-0.0384,0.000005764001247842917,-0.0384,0.00001840227718714219,8451.128,8449.910199999998,8451.128,8447.24,-0.96,0.0010655145679962458,0,0.0004890515364899375,211278.2,211206.08,211278.2,211053.08,(((0)*((5)-(7)))*((3)*((x)+(1)))),(((5)*((7)-(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,ReplaceBranchR,96,96,97,97,2
97,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000014151959057792653,-0.0384,0.0000033018077586834576,8451.128,8450.829,8451.128,8450.430400000001,-0.96,0.000209013518668767,0,0.00008773629777228606,211278.2,211261.8,211278.2,211234.04,((((8)*(3))*((x)*(0)))*((3)*((1)-(1)))),(((6)+((0)*(4)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,ReplaceBranchR,97,97,98,98,2
98,x*x*x*x*3*x+1,25,-10,-0.038396067100155154,0.0000027930001826656254,-0.038384268400620605,0.0000074820781320574184,8471.901399999999,8450.537900000001,8534.221599999999,8449.547199999999,-0.9584268400620605,0.00026808255655346347,0.0007865799689697472,0.00011374937758507136,213355.54,211257.37,219587.56,211221.56,((((2)-(0))*((9)*(x)))*((x)*((4)-(x)))),(((1)+((0)*(x)))*((8)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,98,98,99,99,2
99,x*x*x*x*3*x+1,25,-10,-0.038388201300465455,0.0000030500070523151926,-0.038352805201861816,0.00000836054074675068,8513.4482,8450.4836,8700.4088,8449.3616,-0.9584268400620605,0.000209013518668767,0.0007865799689697472,0.00008653796095860037,213355.54,211260.95,219587.56,211234.04,((((2)-(0))*((9)*(x)))*((x)*((4)-(x)))),(((6)+((0)*(7)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,99,99,99,99,2
