gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
28,x*x*x*x*3*x+1,25,-10,-0.02197649492623196,-0.00019149347502680266,0.010361285957123436,0.0010470536004187853,206027.4588,8511.885600000001,709318.5103999999,8229.9084,0.8869658853004998,0.1038721458247941,0.9118595907592375,0.052304849977360034,11942913.26,205905.08,46728857.16,189332.28,((((x)*((x)*(x)))*((x)*((4)*(3))))-(((9)-(7))*((x)+((1)*(x))))),(((((x)*(x))-((x)+((3)*(x))))-(((8)*(7))-((9)*((4)*(3)))))-((((0)-(6))-((7)*(0)))+(((0)*(1))*((x)-((x)+((4)+(x))))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,28,28,29,29,3
29,x*x*x*x*3*x+1,25,-10,-0.03023798651537157,-0.0008844832117805731,-0.007843907996035147,0.00039997311601481155,55984.89460000001,8758.7176,187536.54559999998,8366.6224,0.3536513106533479,0.019921790321954694,0.6451270969985171,0.009587335594962377,2303911.88,210080.56,8171989.96,207069.16,((((x)*((x)*(9)))-((4)+((x)*(x))))*(((6)+(1))*((x)+((1)*(x))))),((((x)*((5)+(7)))*((x)+((6)+(5))))*(((7)*(x))-((x)+((x)+(x))))),MutateTerminalR|AddToLeafR|MultXD|AddTreeWithDiv|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MutateTerminalR,ReplaceBranchXR,29,29,30,30,3
30,x*x*x*x*3*x+1,25,-10,-0.021493475501627373,0.0011255268673694132,-0.002259858361573457,0.0075964221580835135,122277.20399999998,8286.8049,295797.3824,6846.169600000001,0.664674709972959,0.7589299795246268,0.5537821473822251,0.3794308176585921,7343153.899999999,171181.03000000003,15751734.68,50932.84,((((2)+((3)*(x)))*((x)*((x)*(x))))*(((3)*(x))+((x)-((0)*(x))))),(((((1)*(x))-((6)*(x)))+(((4)-(7))*((x)+((6)*(4)))))-(((3)*((3)*(x)))+(((6)*(x))-((x)+((6)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,30,30,31,31,3
31,x*x*x*x*3*x+1,25,-10,-0.02612939473132994,-0.0023192085016022867,-0.003646352116306809,0.00006922815510545068,99459.05360000001,15593.281,296798.89519999997,8436.5016,0.724768574618913,0.003354061138347515,0.8121733116048008,0.00002201122034126625,6032066.5,211262.72999999998,19190959,210569.56,((((x)*((x)*(x)))*((x)*((x)+(x))))*(((x)-(2))+((0)+((1)*(x))))),((((8)-((4)*(2)))*(((0)*(4))-((5)-(4))))+(((x)*((x)*(4)))*((7)-((x)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddXD,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,31,31,32,32,3
32,x*x*x*x*3*x+1,25,-10,-0.022124523574103095,-0.0033296556478707552,-0.0036478673264928206,0.0009257803218694621,120910.10180000002,11295.340900000001,268701.38639999996,8255.5308,0.590019321105642,0.036068463286794424,0.7718798420874747,0.018013318763320615,6658201.3,209366.45,12883424.2,203657.72,((((x)*((x)*(x)))*((7)*((9)*(3))))*(((1)+(4))*((3)-((6)*(x))))),((((x)*((x)*(x)))*(((0)+(8))-((0)*(x))))+(((5)*(5))*((8)-((8)+((x)+(x)))))),MutateTerminalR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,32,32,33,33,3
33,x*x*x*x*3*x+1,25,-10,-0.025297246362099797,-0.0021347842627749435,0.004774789100986408,0.0007816651220996773,100943.95399999998,11507.760699999999,329637.10480000003,8285.9792,0.6763509687054897,0.00011775942809056805,0.7821769563792093,0.00009697317496545533,4558108.28,211284.36000000002,16320008.68,211253.32,((((x)-((3)*(x)))*((7)+((6)*(x))))*(((7)*(3))*((x)+((1)*(x))))),(((x)-((3)+(x)))+((1)+((x)+(x)))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,33,33,34,34,3
34,x*x*x*x*3*x+1,25,-10,-0.01217570273878903,-0.00011505637024581428,0.02161788934790628,0.0013276940072378543,247417.43259999997,8479.9226,688504.228,8170.6152,0.8643554239897535,0.0641752911563996,0.9158226590737822,0.03204488277694207,9864859.94,207874.90999999997,38939669.8,197719.36,((((x)*((x)*(x)))*((6)*((1)-(9))))*(((3)*(9))+((5)*((7)*(x))))),((((x)*((2)*(x)))*(((8)+(0))+((5)*(x))))-(((4)*((x)-(x)))-((0)-((7)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,34,34,35,35,3
35,x*x*x*x*3*x+1,25,-10,-0.026588402574164834,0.000013387243214744325,-0.0005297537889836583,0.00036853778572517286,71091.384,8448.3985,209487.78399999999,8373.264000000001,0.12887921291174956,0.018119806018794208,0.472154870095362,0.013019645055365509,2398503.04,211062.45,6063401.4,207449.88,((((x)+((x)*(0)))-((3)*((3)*(x))))*(((x)*(3))*((x)+((9)*(x))))),(((((x)*(x))+((0)*(3)))-(((1)*(0))*((6)*(1))))+(((x)-((3)*(8)))-(((5)+(1))-((x)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|SkipD,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,35,35,36,36,3
36,x*x*x*x*3*x+1,25,-10,-0.02850948948040191,-0.002175408533742518,-0.010418372521883504,0.0000609016926497901,71733.33820000001,10883.9645,200412.74,8438.2608,0.5873740076576724,0.0008559330778093793,0.7339137501396419,0.00012749161386484242,3959473.4400000004,211254.55,12800829.56,211097.36,((((2)-((8)*(x)))*((9)*((8)*(x))))*(((3)*(x))+((7)+((3)*(x))))),((((0)*((4)-(x)))+((x)+((x)*(5))))*(((9)-(0))-((9)-((6)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,36,36,37,37,3
37,x*x*x*x*3*x+1,25,-10,-0.03369499971128114,0.0001805354307017258,-0.02424866520066907,0.0007146501626765104,33302.7278,8412.9848,83197.8416,8300.138,-0.21119231799589352,0.07065868603575766,0.35089653735588483,0.035260067084074656,1386365.22,207524.08000000002,4166446.68,196349.56,((((x)*((x)*(x)))*((x)*((3)*(9))))+(((3)-(6))+((x)+((5)*(x))))),(((((x)+(6))*((7)-(8)))*(((1)*(x))*((2)-(9))))-(((5)*((x)*(1)))*((x)-((x)+((4)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,37,37,38,38,3
38,x*x*x*x*3*x+1,25,-10,-0.021792679863452225,-0.02168742236671624,0.004724221579217495,0.0003821766751136651,166814.354,7859.586499999999,518360.06480000005,8370.3824,0.8484949051029915,0.017979706377657518,0.8209124883006631,0,9653821,32767,34863217,207479.48,((((x)*((5)*(9)))*((7)*((x)*(x))))*(((3)*(2))-((9)+((1)*(x))))),(((((x)-(8))*((x)+(7)))-(((9)-(4))*((x)-((4)-(5)))))+(((8)-((6)*(x)))*(((x)-(x))*((0)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DivXD|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,38,38,39,39,3
39,x*x*x*x*3*x+1,25,-10,-0.028505048122559655,0.000016200139516994407,-0.0068591132307599,0.00006535648259025563,77644.4718,8447.705399999999,242763.28559999997,8437.319599999999,0.6246054439542681,0.006322658939729824,0.7731260799259099,0.0031362352214323,3847138.18,210936.28,14070409.16,209942.36,((((3)*((4)-(9)))*((x)*((x)*(4))))*(((6)*(6))*((x)+((1)*(x))))),(((((x)-(7))*((4)+(8)))*(((2)*(6))+((5)-((3)*(4)))))*(((3)-((0)+(x)))-(((0)*(3))-((x)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|AddRandomSubTreeR|MutateTerminalR|AddXD,MutateTerminalR,AddTreeWithSub,39,39,40,40,3
40,x*x*x*x*3*x+1,25,-10,-0.02197303966690133,-0.004596162702464776,0.0038382190631542244,0.0014621385452924188,167887.1972,71059.0292,514705.1728,8142.21,0.8234016638839787,0.10908612436115045,0.8346973262159424,0.054505959384303575,8186117.92,205504.56,29909426.76,188230.68,((((1)-(x))*((x)*((x)*(x))))*(((5)*(7))*((x)+((9)*(x))))),((((x)+((3)*(0)))+(((7)*(6))*((x)-(2))))-(((0)*(7))*((x)-((x)+((0)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MutateTerminalR,AddTreeWithSub,40,40,41,41,3
41,x*x*x*x*3*x+1,25,-10,-0.020955047602613745,-0.003889653244149053,-0.009995201392028558,0.0000706859486686303,154348.5832,29802.2317,339496.39280000003,8436.193599999999,0.8090149202590291,0.0033567116720987383,0.7330743768862845,0.0016476745397067058,11424633.76,211091.11000000002,27656375.08,210569,((((x)*((x)*(x)))*((x)*((9)-(5))))*(((x)*(8))+((9)-((5)*(x))))),(((((3)-(x))-((2)+((2)*(x))))-(((1)*(x))+((8)-((0)+(7)))))+((((x)*(7))+((5)*(0)))*(((5)-(1))-((x)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,41,41,42,42,3
42,x*x*x*x*3*x+1,25,-10,-0.017295096361074725,-0.00029622857609507675,0.01441329625261078,0.00007189004828704544,242334.5538,8522.4634,776811.2768000001,8435.9392,0.8929426542145809,0.003470684623401746,0.8675982586753618,0.0016924842099032898,13009446.06,211081.22999999998,49337623.32,210544.92,((((x)*(x))*((x)*((x)*(2))))-(((x)*(4))*((x)+((6)*(x))))),(((((x)+(9))+((4)*((2)*(x))))*(((0)-(0))-((1)*((8)-(x)))))*((((1)+(4))-((9)*(x)))+(((x)*(2))*((x)-((x)+((x)+(x))))))),MutateTerminalR|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MutateTerminalR,AddTreeWithSub,42,42,43,43,3
43,x*x*x*x*3*x+1,25,-10,-0.030655243010723934,0.0004494274674857879,-0.010520318856717508,0.003441434090218492,73667.40719999999,8356.2207,252945.63439999998,7724.028,0.7191008558983687,0.17067108674723666,0.8159138311687607,0.08325196177038813,5075674.819999999,201519.72999999998,18803741.88,175219.12,((((x)*((9)*(5)))*((x)*((x)*(3))))*(((x)+(x))*((9)-((8)*(x))))),(((((4)+(9))*((x)*((x)*(5))))+(((6)-(x))-((0)*((0)+(0)))))-((((9)-(6))-((3)+(6)))-(((2)*(x))-((9)+((x)+(x)))))),MutateTerminalR|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,43,43,44,44,3
44,x*x*x*x*3*x+1,25,-10,-0.02246200811720395,-0.001606139856392954,0.0013756634543793111,0.0030630022406476416,125373.16659999998,9773.353200000001,349497.5232,7803.9824,0.7492289493623076,0.13982209238814045,0.687268612075444,0.07123503227900607,7271674.84,198101.86,21062857.88,181736.84,((((x)*((x)*(x)))*((x)*((4)-(7))))+(((x)+(0))*((6)*((5)+((1)*(x)))))),(((((x)-(4))-((2)*(2)))-(((2)*(x))*((8)+((8)*(x)))))+(((1)*((2)-(0)))-(((7)*(x))-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|AddTreeWithSub,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,44,44,45,45,3
45,x*x*x*x*3*x+1,25,-10,-0.03836746746146992,-0.006401071357762702,-0.025600602085624324,0.0010859407170261794,NaN,NaN,1018568.2236,8221.6924,0.946782375291463,0.05163504800779264,0.8828772445765877,0.024715927478203153,27741932.18,208099.16999999998,99251987.08,200368.84,((((2)+((5)*(7)))*((x)*((x)*(x))))*(((3)*(x))+((x)*((x)*(x))))),(((((2)+(1))+((8)-((x)*(0))))*(((8)-(2))+((5)*((2)*(x)))))+((((1)-(7))+((x)*(8)))-(((4)-(3))*((x)-((x)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,45,45,46,46,3
46,x*x*x*x*3*x+1,25,-10,-0.017366402532969363,0.00008511580806748838,-0.0030749772008756395,0.001678219522884995,244059.263,8434.7209,456915.0592,8096.556799999999,0.8492065233902814,0.08116880965475856,0.5596228714992322,0.040605276961153174,20114116.48,206997.38,35027742.04,194129,((((3)+((8)*(x)))*((6)*((6)*(x))))*(((7)+(5))*((x)+((4)*(x))))),(((((x)*(x))*((5)-((8)-(6))))+(((0)-(7))-((8)-((5)-(0)))))*((((x)+(x))-((4)*(x)))-(((2)*(x))-((x)+((0)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,46,46,47,47,3
47,x*x*x*x*3*x+1,25,-10,-0.019530352318057154,-0.0020077810620682595,0.019078047065434242,0.0036055627130484854,195114.66099999996,45231.623499999994,660027.1984,7689.3512,0.8678026947910926,0.16780112666616812,0.9084476667201663,0.08371726121567374,10191530.58,202356.90000000002,39955088.28,175825.48,((((x)*((x)*(x)))*((7)*((1)*(8))))*(((9)+(5))*((x)+((1)*(x))))),(((((x)*(0))-((6)+(2)))*(((6)-(5))+((7)-((0)*(1)))))-((((9)*(1))-((3)*(3)))+(((4)*(x))-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,47,47,48,48,3
48,x*x*x*x*3*x+1,25,-10,-0.02496162961095285,-0.01649519570014999,0.007525028795799678,0.005489387925493499,120953.75399999997,10891.808777777778,417112.0968,7291.34,0.7429008873776026,0.2687940355417644,0.8121140281228723,1.0000286089357278,5697835.659999999,77391.77777777778,20544431.08,154487.88,((((x)*((x)*(8)))*((x)+((2)+(1))))*(((x)*(3))*((x)+((0)*(x))))),(((((4)+(2))*((8)-(7)))*(((x)+(8))*((x)*((9)+(7)))))+(((0)*((9)*(x)))-(((8)+(0))-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|DivXD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,48,48,49,49,3
49,x*x*x*x*3*x+1,25,-10,-0.011713519711013141,0.00040770917366625143,0.014522116315336358,0.004347062782624997,358740.675,8366.8976,1004832.7736,7532.688400000001,0.9003983118642498,0.2153056964703411,0.7567432215573748,0.10761129683102544,19471522.46,199892.67,53030777.88,165788.8,((((x)*((x)*(x)))*((9)*((x)*(3))))*(((7)+(7))+((8)+((6)*(x))))),(((((6)-(2))*((9)*(x)))-(((x)+(x))-((0)*((1)+(7)))))+(((6)+((x)+(x)))-(((7)*(x))-((9)+((4)+(x)))))),AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|MutateTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,49,49,50,50,3
50,x*x*x*x*3*x+1,25,-10,-0.01051111274914026,0.00011553646893146393,0.027618347654215638,0.0005735679308134984,505887.79939999996,8426.718499999999,1434615.7031999999,8329.9456,0.9443206599173126,0.02836355099579609,1.0631149317083717,0.013963164038901913,34435065.04,208845.25,94863821.88,205285.6,((((x)*((x)*(x)))*((x)*((9)*(2))))+(((8)*(9))+((5)+((1)*(x))))),(((((x)-(0))+((0)+(3)))*(((4)*(3))-((0)*(2))))+(((x)-((0)*(x)))-((5)-((0)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,50,50,51,51,3
51,x*x*x*x*3*x+1,25,-10,-0.007345398737791775,-0.002063616198465498,0.020507360168206153,0.0003253643773943572,362391.22380000004,9971.747800000001,1072035.4144,8382.385600000001,0.9349214254679881,0.011466966303196454,0.7903336032241346,0.005711692859514374,23534513.96,210665.59,81162733.48,208855.48,((((x)*((x)*(x)))*((x)+((9)+(3))))*(((5)+(7))*((x)+((7)*((6)*(x)))))),((((0)-((6)+(7)))+((9)*((x)*(7))))*(((2)+(4))-((x)+((x)+(x))))),AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|DivXD|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithMult,AddTreeWithSub,51,51,52,52,3
52,x*x*x*x*3*x+1,25,-10,-0.008303368077804227,-0.0028048803570608124,0.028828784628267375,0.0063868359348006574,393815.9038,144905.1838,1112084.8264,7101.7288,0.9050463909786294,0.04517948373282242,0.9300348512750333,0.022542492234197888,14085061.840000002,208876.84000000003,55626690.28,201732.76,((((9)+((5)*(x)))*((x)*((x)*(3))))*(((2)*(8))+((8)*((9)+((1)*(x)))))),((((7)*((3)+(0)))*(((7)*(6))-((2)*(3))))*(((x)*(3))*((x)-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|SkipD|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,52,52,53,53,3
53,x*x*x*x*3*x+1,25,-10,0.004578230952002712,-0.00341913861015117,0.03580997363160029,0.00034628466164516973,1823226.0208,10665.962,5593954.4072,8377.9656,0.9798932679371546,0.0015808540587717993,0.8744694180738672,0.000752931084708516,71090557.54,211182.59000000003,262695846.52,210944.2,((((x)*((9)+(0)))*((x)*((x)*(6))))*(((7)+(7))*((x)+((1)*((x)*(8)))))),((((5)*((9)+(7)))+((1)-((0)*(x))))+(((6)-(3))-((9)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,53,53,54,54,3
