gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.04861058175816835,0.01143104542823534,-0.037526144108146454,0.011482065836398605,212.60877936507939,244.81080000000003,378.54942857142856,244.3736,-0.8725013723696249,0.28751610433743496,0.04378728004881272,0.0011636370610951853,9459.371428571429,6115.54,19509.84,6105.36,((((6)/(6))+((6)*(x)))*((x)*((x)*(6)))),((x)*(8)),ReplaceBranchXR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,DivXD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithMult,31,31,32,32,1
32,x*x*x*x,25,-10,-0.04872364759352964,0.011464502772746797,-0.0379289105065631,0.01158055903056557,195.30744523809526,244.5241,316.91811428571424,243.5296,-0.9130116324663443,0.29159586982093855,0.023514044865511282,0.003035678592277617,7913.791666666667,6103.9400000000005,13310.959999999997,6070.4,((((x)*(4))/((5)-(9)))*((2)*((x)*(x)))),(((x)*(7))*((4)*(1))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,32,32,33,33,1
33,x*x*x*x,25,-10,-0.048837854691159775,0.011608508224881903,-0.03835302901581492,0.012148692047724856,177.83147515873017,243.2901,252.0195,238.66119999999998,-0.9552947327146779,0.3446608286498497,0.5207787806431229,0.02748984528299898,4768.255,5967.21,6840.8,5615.68,((((6)+(3))*((3)+(7)))*((2)/((2)-(9)))),(((x)+(5))*((x)*(8))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithMult,33,33,34,34,1
34,x*x*x*x,25,-10,-0.046093289854215555,0.00013283744421831222,-0.03791689147388141,0.012240790186156807,215.2547865079365,376.92470000000003,318.7572666666667,237.872,-0.9116804339302051,0.30997815411617535,0.023966024568641484,0.011931808819827423,8015.181666666666,6041.64,13514.66,5912.88,((((x)*(x))*((x)*(x)))*((x)*((2)/(8)))),(((x)*(2))*((9)*(9))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,34,34,35,35,1
35,x*x*x*x,25,-10,-0.04364690218054285,0.01148327949661109,-0.03838319435367926,0.01169417629814964,207.05102833333333,244.3632,247.4036,242.55599999999998,-0.9597882629721605,0.29245943574135974,0.0010624537046743045,0.002959593819633762,6041.8375,6092.08,6153.2,6063,(((9)/((5)+(9)))*((x)-(5))),((x)+((7)*(9))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithDiv,AddTreeWithMult,35,35,36,36,1
36,x*x*x*x,25,-10,-0.04099278935941562,0.01148080549694718,-0.038315761338387135,0.012037362062848929,230.6333722222222,244.38440000000003,257.7222,239.61520000000002,-0.9542450660044438,0.3152529081165861,0.0032184409892086325,0.01476931120115016,6281.705,6057.52,7001.42,5867.68,(((x)*((1)/(4)))-((3)*((x)*(x)))),(((7)*(9))*((x)*(8))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchXR,AddTreeWithDiv,AddTreeWithSub,36,36,37,37,1
37,x*x*x*x,25,-10,-0.04629050654754125,0.011493607278226937,-0.03831382377653715,0.01223668241312994,185.0766880952381,244.27470000000002,258.01868571428577,237.90720000000002,-0.9599869298130964,0.3182403794088542,0.001267739438947742,0.01688979622115634,6022.636666666666,6058.4400000000005,6122.8,5842.08,((x)-((4)/(1))),((x)*((5)*(x))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddTreeWithDiv,AddTreeWithMult,37,37,38,38,1
38,x*x*x*x,25,-10,-0.03844259167283871,0.011386991896484122,-0.03834089487213001,0.011659540302854906,238.31462222222225,245.18830000000003,253.87626666666668,242.85280000000003,-0.9572021086568205,0.2944339675485932,0.0013989456715897686,0.005376850620317673,6227.833333333334,6099.219999999999,6548.933333333333,6046.08,(((x)-((2)*(7)))/((9)-((9)*(x)))),(((x)*(7))-((3)*(8))),AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithMult,38,38,39,39,1
39,x*x*x*x,25,-10,-0.04000895096501547,0.011511123662639804,-0.034410627804644274,0.011750471460313312,381.1803233333334,244.12460000000002,855.2857333333334,242.0736,-0.5639926806953339,0.29379912989898616,0.6150131404410077,0.00402044665581556,19737.88,6096.3,66717.84,6051.52,((((x)*(x))*((6)*(7)))/((2)*((x)*(6)))),((x)*((x)+(7))),AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,39,39,40,40,1
40,x*x*x*x,25,-10,-0.046280652949194326,0.011512652407715146,-0.038400000000000004,0.01171387493698303,186.5844857142857,244.1115,244.832,242.3872,-0.9600000000000001,0.30447000392105616,0.004135134454482003,0.008720354842329858,5793.32,6070.799999999999,6120.8,5960.08,(((x)*((0)*(1)))/((4)-(x))),(((x)+(5))*((4)*(9))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,40,40,41,41,1
