gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x*x*x,25,-10,-0.03949992852241537,0.011563894542263385,-0.039499877466997776,0.011904979741210303,244.86700000000002,243.67239999999998,244.892,240.7496,-0.9874959155665927,0.3041432492484643,0.000002042216703690425,0.008846638641855937,6122.3,6076.06,6122.8,5962.88,(((0)*((x)*(0)))*((x)-(x))),(((1)*((6)*(x)))+((0)*((3)*(6)))),AddToLeafR|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,32,32,33,33,3
33,x*x*x*x,25,-10,-0.039499877466997776,0.011368927031013687,-0.03949983662266371,0.012430121179304294,244.892,245.34309999999996,244.912,236.2496,-0.9874959155665927,0.2998674309614056,0,0.009291129339624357,6122.8,6098.84,6122.8,5999.52,(((0)*((x)*(0)))*((x)-(x))),((5)*((8)*(6))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchXR,MultXD,ReplaceBranchXR,33,33,34,34,3
34,x*x*x*x,25,-10,-0.03949992852241537,0.011272767798793812,-0.039499877466997776,0.011894850346359955,244.86700000000002,246.1671,244.892,240.8364,-0.9874959155665927,0.3129422857889726,0,0.012889599086401726,6122.8,6052.139999999999,6122.8,5887.48,((0)-(x)),(((9)*((8)-(1)))*((9)*(1))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,34,34,35,35,3
35,x*x*x*x,25,-10,-0.03949992852241537,0.009330167599372677,-0.03949983662266371,0.011706779692663895,244.86700000000002,271.3312,244.912,242.44799999999998,-0.9874959155665927,0.29301491868476587,0.000002042216703690425,0.0019997373613610922,6122.3,6108.34,6122.8,6058.24,(((x)*((x)*(0)))*((0)-(x))),((9)*((x)*(4))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,SubXD,AddTreeWithMult,35,35,36,36,3
36,x*x*x*x,25,-10,-0.03949999489445824,0.011838438486098925,-0.03949977535616259,0.013074761469089013,244.83450000000002,241.3198,244.942,230.72560000000001,-0.9874959155665927,0.34400731930466616,0.000002358148727238434,0.026270051610574406,6121.8,5952,6122.8,5621.28,((0)-(x)),((((3)*(4))-((3)*(x)))+((0)*((1)*(x)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,36,36,37,37,3
37,x*x*x*x,25,-10,-0.03949990810024834,0.011479230072632896,-0.03949983662266371,0.012227719999253133,244.877,244.39790000000002,244.912,237.984,-0.9874959155665927,0.3123401236066247,0.000002042216703690425,0.013392525567120688,6122.3,6064.76,6122.8,5892.64,(((0)*((x)*(0)))*((x)-(x))),((((x)*(4))+((8)*(x)))+((x)-((6)*(4)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,MutateNonTerminalR,37,37,38,38,3
38,x*x*x*x,25,-10,-0.049624928522415374,-0.00041898117893085615,-0.04962487746699778,0.011585600388371274,NaN,NaN,NaN,243.4864,-0.9874959155665927,0.2889024777340031,0.000002042216703690425,0.0013268917498164639,6122.3,6105.709999999999,6122.8,6093.48,(((0)*((x)*(x)))*((0)-(x))),((6)*((6)+(5))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,38,38,39,39,3
39,x*x*x*x,25,-10,-0.03949990810024834,0.011512162275706261,-0.039499877466997776,0.011765455496013598,244.877,244.1157,244.892,241.9452,-0.9874959155665927,0.31179864443490124,0,0.01413784684681484,6122.8,6074.530000000001,6122.8,5897.28,((0)-(x)),((x)*((x)*(4))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR,AddTreeWithSub,39,39,40,40,3
40,x*x*x*x,25,-10,-0.03949994894458241,0.005787089767288438,-0.03949983662266371,0.011616066371653879,244.857,310.8236333333333,244.912,243.22533333333334,-0.9874959155665927,0.29493810332916337,0.000002358148727238434,0.0037728038258515286,6121.8,6086.7300000000005,6122.8,6041.76,(((0)*((0)*(0)))*((x)-(x))),((8)*((3)*(6))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteTerminalR,AddTreeWithSub,40,40,41,41,3
41,x*x*x*x,25,-10,-0.03950001347863025,0.011457232481281627,-0.03949987746699778,0.011562167410422543,244.8254,244.5864,244.892,243.68720000000002,-0.9874959155665927,0.2897427040349535,0.000002358148727238434,0.0017410146344231199,6121.8,6107.34,6122.8,6086.28,(((0)*((x)*(0)))*((0)-(x))),((8)+((5)*(9))),MultXD|SubXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult,DeleteNonTerminalR,AddTreeWithMult,41,41,42,42,3
