generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
2,0.9883649116628547,0.011635088337145237,0.9999999999932866,0.039698168572111454,0.9999999999932866,0.039698168572111454,StrategyAddSubX,StrategyMutateTerminal,2,2,(((x)0((0)0(((x)+(5))-(4))))*(((0)-((x)-(1)))*((x)*(x)))),(((x)*((0)*(9)))+(4)),10000*x*x*x,3
3,0.9949412870681662,0.005058712931833762,0.9999999998862598,0.043156284372056646,0.9999999998862598,0.043156284372056646,StrategyAddTreeWithMult,StrategyAddAddX,3,3,((((3)*(4))0((0)0(0)))*(((x)*((x)+(0)))*(((1)+(6))*(x)))),(((((x)*(7))-(4))0(((2)+(8))0((0)*((x)+(3)))))*(((1)-(x))-((9)*((((x)*(0))+(4))-(5))))),10000*x*x*x,3
4,0.9947184882868387,0.005281511713161243,0.9999999999563723,0.03351209129599719,0.9999999999563723,0.03351209129599719,StrategyAddTreeWithSub,StrategyAddAddX,4,4,(((1)0(((((9)*((5)-(0)))*(6))+(0))0(0)))*((x)*((x)*(x)))),((((1)0(0))0((7)*((x)*(1))))*(((x)+((x)*((x)+(1))))*((x)+((1)*(x))))),10000*x*x*x,3
5,0.9972152049969518,0.002784795003048316,0.9999999999965795,0.030433703715325874,0.9999999999965795,0.030433703715325874,StrategyAddTreeWithMult,StrategyMutateNonTerminal,5,5,(((1)0((((5)*(8))*((x)-(0)))0((9)+(1))))*((7)*((x)*(x)))),((((((x)*(2))+(8))*((x)-(5)))+((9)0(((9)+(4))0(0))))*(((x)*(8))+((x)+((6)*(x))))),10000*x*x*x,3
6,0.9991644314774762,0.0008355685225237599,0.9999999999263864,0.020080190460331427,0.9999999999263864,0.020080190460331427,StrategyAddAddX,StrategyAddAddX,6,6,(((1)0(((x)+(1))0(0)))*((((2)*(6))+(7))*((x)*((2)*(6))))),((((1)0(0))0((0)-(((x)*(3))+((x)+(6)))))*((x)*(5))),10000*x*x*x,3
7,0.9986334901185231,0.0013665098814770688,0.9999999999827066,0.03398398484052302,0.9999999999827066,0.03398398484052302,StrategySkip,StrategyAddAddX,7,7,(((1)0((0)0((9)*(9))))*((x)*(((2)+(4))*((2)*((x)+(7)))))),(((((x)*(7))-(0))0((0)*((x)+(4))))*((((7)*(0))+(4))*((8)*((1)*(x))))),10000*x*x*x,3
8,0.9996500177775236,0.00034998222247661464,0.9999999999627606,0.003376563304095022,0.9999999999627606,0.003376563304095022,StrategyAddAddX,StrategyMutateNonTerminal,8,8,(((1)0(((0)*((3)*(9)))0(0)))*((x)*((x)*((9)+((x)+(1)))))),(((((x)-(1))+(x))+(((x)+(8))0((0)0((x)+(3)))))*(((0)*((x)+(0)))*((x)*((8)-(x))))),10000*x*x*x,3
9,0.9998623518763191,0.00013764812368121285,0.9999999999528145,0.0033433908494711396,0.9999999999528145,0.0033433908494711396,StrategyAddAddX,StrategyAddMultX,9,9,(((1)0((0)0((8)*(6))))*((x)*(((8)*(9))*(((x)+(5))+(0))))),((((3)*(4))0((0)+((1)*((x)*(1)))))0((((x)+(7))*(x))*((x)*((x)+(5))))),10000*x*x*x,3
10,0.9985479310107338,0.0014520689892663383,0.9999999998856459,0.033320329806576135,0.9999999998856459,0.033320329806576135,StrategyAddTreeWithMult,StrategyAddTreeWithMult,10,10,(((1)0(((2)*((1)*(3)))0(0)))*((x)*(((8)+((x)+(1)))*(x)))),((((1)0(7))*((x)0((4)*(5))))*((((3)*(9))*(0))*((9)+((4)*((x)+(2)))))),10000*x*x*x,3
11,0.9990422098880775,0.0009577901119225383,0.9999999999829045,0.02642692000092932,0.9999999999829045,0.02642692000092932,StrategyAddAddX,StrategyAddTreeWithMult,11,11,((((5)+(7))0(((x)+(x))0(0)))*((x)*((x)*((1)*((0)*(2)))))),((((1)0(x))+(((x)+(2))*((8)0(0))))*((((4)*(2))*(6))*((x)-(0)))),10000*x*x*x,3
12,0.9991617784268398,0.0008382215731603155,0.9999999999091969,0.010270494109160882,0.9999999999091969,0.010270494109160882,StrategyAddTreeWithMult,StrategyMutateNonTerminal,12,12,(((1)0((((x)-(9))*(4))0((2)+(0))))*((x)*(((1)*(3))*(x)))),(((((1)+(0))+((x)*(1)))0((0)-((x)+(2))))*(((3)*(3))*((4)*((x)*((x)-(x)))))),10000*x*x*x,3
13,0.9976180599668037,0.002381940033196381,0.9999999999766404,0.026586853852358164,0.9999999999766404,0.026586853852358164,StrategyAddTreeWithAdd,StrategyAddAddX,13,13,(((1)0((0)0(0)))*((x)*((((5)*(6))+((0)*((x)-(9))))*(x)))),(((((x)*(1))0(x))-((2)0(((x)+(x))*(4))))*(((2)*((x)*(x)))+((6)*((9)-(0))))),10000*x*x*x,3
14,0.9985256759187562,0.001474324081243907,0.9999999999263662,0.019960120621534443,0.9999999999263662,0.019960120621534443,StrategyAddTreeWithAdd,StrategyAddMultX,14,14,(((1)0((0)0(0)))*(((2)*((7)*((x)-(3))))*((x)*((9)+(5))))),(((((x)+(x))0(1))*((x)-((x)*(8))))-(((x)*(0))+(((x)+(x))*((3)*(x))))),10000*x*x*x,3
15,0.9975828439877948,0.0024171560122051967,0.999999999926279,0.03326860565005759,0.999999999926279,0.03326860565005759,StrategyAddSubX,StrategyAddMultX,15,15,(((1)0((0)0((x)-(9))))*((x)*(((0)+((7)*((2)*(7))))*(x)))),(((((x)+(x))0(0))+((0)*((x)*((x)-(x)))))*(((3)*((x)*(0)))*((x)+((8)*(x))))),10000*x*x*x,3
16,0.9990787348754956,0.0009212651245044678,0.9999999999831761,0.016734922985267985,0.9999999999831761,0.016734922985267985,StrategyAddSubX,StrategyAddMultX,16,16,(((((x)-(9))+(0))0((0)0(0)))*((x)*((x)*(((1)*(3))*(9))))),((((1)0((x)*(0)))+((6)*((0)*(x))))*(((2)*(8))-((x)*(9)))),10000*x*x*x,3
17,0.9982741807859304,0.0017258192140694596,0.9999999999464262,0.02974684925894502,0.9999999999464262,0.02974684925894502,StrategyAddTreeWithMult,StrategyAddMultX,17,17,(((1)0(((x)+((x)-(7)))0((6)*(4))))*(((x)*(8))*((x)*(x)))),((((1)*(x))-((3)0((0)*((x)+(0)))))*(((x)*(3))*(5))),10000*x*x*x,3
18,0.9994009858573631,0.0005990141426368432,0.999999999939203,0.010607667677016878,0.999999999939203,0.010607667677016878,StrategySkip,StrategyAddRandomSubTreeX,18,18,(((1)0((((x)-(4))+((2)*(9)))0(0)))*((x)*((x)*((7)*(9))))),(((((x)*((x)*(9)))*(0))0((1)*((x)-(0))))*(((x)*(x))*((x)*(((x)+(3))-(0))))),10000*x*x*x,3
19,0.998471766192948,0.001528233807052098,0.9999999999230497,0.02325257612100704,0.9999999999230497,0.02325257612100704,StrategyAddSubX,StrategyMutateNonTerminal,19,19,(((1)0(((9)+((4)*(5)))0(0)))*((((x)-(6))*(4))*((x)*(x)))),(((((x)+(8))*(9))*((0)0((0)*(x))))+(((8)*((x)+((x)+(x))))*((x)*(((x)+(x))+(6))))),10000*x*x*x,3
20,0.996811654151904,0.0031883458480961367,0.9999999999831392,0.026562512277884174,0.9999999999831392,0.026562512277884174,StrategyAddSubX,StrategyAddRandomSubTree,20,20,((((9)*(5))0((0)0(0)))*(((6)+(8))*(((5)*(1))*((x)-(0))))),((((1)0(0))+((((x)+(1))+((x)*(9)))-((2)0(0))))*(((x)*((x)+(2)))*((5)*((7)*(x))))),10000*x*x*x,3
21,0.9985029243622774,0.0014970756377226183,0.9999999999394914,0.02734537404692143,0.9999999999394914,0.02734537404692143,StrategyAddTreeWithAdd,StrategyAddRandomSubTreeX,21,21,(((1)0((((x)-(9))*(0))0(0)))*((((4)*(0))+(x))*((x)*(x)))),((((x)-(3))+((8)0((x)+((x)-(3)))))0(((0)*(3))*((5)*((((x)+(8))+(3))*((3)-(2)))))),10000*x*x*x,3
22,0.9977144644293026,0.002285535570697434,0.9999999998927886,0.02713278519039666,0.9999999998927886,0.02713278519039666,StrategyAddTreeWithAdd,StrategyMutateNonTerminal,22,22,((((x)+(0))0((0)0(0)))*(((x)-(9))*((((8)*(1))*(6))*(x)))),((((1)0(0))0(((x)-(7))*(((x)-(1))*(5))))*(((7)+(x))-((5)*(((x)+((6)+(1)))*(x))))),10000*x*x*x,3
23,0.9997977443454934,0.00020225565450661894,0.999999999906494,0.0037037299032317375,0.999999999906494,0.0037037299032317375,StrategyAddSubX,StrategyMutateNonTerminal,23,23,((((3)*((x)-(x)))0((0)0(0)))*(((9)*(1))*(((0)+(0))*(x)))),(((((x)-(4))0((x)+(0)))0(((x)*(x))+((5)+(6))))*(((6)*(0))*((x)-((4)*(x))))),10000*x*x*x,3
24,0.9982693984006793,0.0017306015993204349,0.9999999999497662,0.020185966267673196,0.9999999999497662,0.020185966267673196,StrategyAddSubX,StrategyAddRandomSubTree,24,24,((((9)+(7))0(((9)*(1))0((4)*(7))))*((x)*(((x)-(0))*(x)))),(((5)*(8))-(((2)*(((x)*(x))+(9)))*((7)*(((x)+(2))*(x))))),10000*x*x*x,3
25,0.9978303551032907,0.0021696448967093085,0.99999999993984,0.026478238582010327,0.99999999993984,0.026478238582010327,StrategySkip,StrategyAddRandomSubTree,25,25,(((1)0((0)0(0)))*(((x)-(6))*((x)*((0)+((6)*((x)*(9))))))),((((7)-(3))*(((x)+(0))-(9)))+(((4)*(x))-((2)*((x)*(x))))),10000*x*x*x,3
