gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.0395,0.00010341204719492943,-0.0395,0.000354071363220496,244.832,244.19909999999996,244.832,242.66479999999996,-0.9875,0.02407528427656525,0,0.011252859594890228,6120.8,6075.83,6120.8,5973.44,(0),((9)*((4)*(9))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,FellTreeD,15,20,22,22,4
22,x*x*x*x,25,-10,-0.0395,0.00018506350760980655,-0.0395,0.0008417853875310444,244.832,243.6993,244.832,239.6796,-0.9875,0.027395111750098074,0,0.012695923890872948,6120.8,6068.37,6120.8,5953.12,(0),((x)*((3)*(x))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,AddTreeWithAdd,20,20,23,23,4
23,x*x*x*x,25,-10,-0.0395,-0.000002366726615017265,-0.0395,0.00004450398640700526,244.832,244.84740000000002,244.832,244.5596,-0.9875,0.0015161416808259943,0,0.00034797966381407044,6120.8,6114.68,6120.8,6111.52,(0),((6)*(2)),AddToLeafR|AddToLeafR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR,DivXD|AddTreeWithAdd|SkipD|MutateTerminalR|MutateNonTerminalR,AddToLeafR,DivXD,21,23,24,24,4
24,x*x*x*x,25,-10,-0.0395,-0.009978134712372187,-0.0395,0.00008240752842765734,244.832,377.9292,244.832,244.3276,-0.9875,0.0022088615867207613,0,0.0008695604285736076,6120.8,6114.26,6120.8,6107.28,(0),((x)*(7)),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddToLeafR,FellTreeD,23,24,25,25,4
25,x*x*x*x,25,-10,-0.0395,0.000028361764905406916,-0.0395,0.00010233956345575944,244.832,244.65849999999998,244.832,244.20559999999998,-0.9875,0.005933864854267517,0,0.003662688137082118,6120.8,6104.44,6120.8,6084.48,(0),((8)*(7)),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddToLeafR,FellTreeD,24,24,26,26,4
26,x*x*x*x,25,-10,-0.0395,0.000057175987341922624,-0.0395,0.00029309894131486166,244.832,244.4821,244.832,243.03799999999998,-0.9875,0.009149130832570905,0,0.0044111880799895435,6120.8,6105.3,6120.8,6064.8,(0),((x)*(x)),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddToLeafR,FellTreeD,24,24,27,27,4
27,x*x*x*x,25,-10,-0.0394971279625757,0.00006264220350901028,-0.03948665751753583,0.00016076329891517684,246.23833333333332,244.4486,251.36533333333333,243.84799999999998,-0.9861657517535833,0.009149130832570905,0.0007046448757311082,0.004741810349436951,6261.433333333334,6107.82,6774.133333333334,6064.8,((((x)*(2))*((x)*(1)))/((6)-((7)-(1)))),((x)*(x)),AddToLeafR|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|MutateNonTerminalR,FellTreeD|ReplaceBranchR|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddToLeafR,MutateNonTerminalR,26,27,28,28,4
28,x*x*x*x,25,-10,-0.0395,0.00007491044242398524,-0.0395,0.00015462031107045033,244.832,244.37350000000004,244.832,243.8856,-0.9875,0.009149130832570905,0,0.005052668864894037,6120.8,6091.360000000001,6120.8,6064.8,(0),((x)*(x)),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddToLeafR,FellTreeD,27,28,29,29,4
29,x*x*x*x,25,-10,-0.0395,0.000019580672696518493,-0.0395,0.00009724219056332577,244.832,244.71220000000002,244.832,244.23680000000002,-0.9875,0.0028100901842896056,0,0.0014054928587954607,6120.8,6116.25,6120.8,6103.6,(0),((x)*(9)),ReplaceBranchR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithDiv,ReplaceBranchXR,28,28,30,30,4
30,x*x*x*x,25,-10,-0.0395,0.00003856385106915083,-0.0395,0.00014409881061299294,244.832,244.59599999999998,244.832,243.95,-0.9875,0.009149130832570905,0,0.004509146896603236,6120.8,6104.83,6120.8,6064.8,(0),((x)*(x)),ReplaceBranchR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|ReplaceBranchXR|SubXD,AddTreeWithDiv,SubXD,28,30,31,31,4
