gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
88,x*x*x*x,25,-10,-0.03840586132531695,0.01234259760628863,-0.038393138151875575,0.017816998711653004,243.93510000000003,236.9996,245.882,190.08880000000002,-0.9597255260750229,0.5458110050973729,0.00018300520800850186,0.1245972025139193,6127.700000000001,5491.52,6162.8,3892,(((5)*((2)-(x)))*((x)-((1)+(x)))),(((x)*((4)*(5)))+((6)+((x)*(x)))),AddXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateNonTerminalR,ReplaceBranchR,88,87,89,89,2
89,x*x*x*x,25,-10,-0.038577166383479286,0.013339677819892828,-0.038398706051496534,0.025689078925257198,217.722,228.45549999999994,245.03,122.632,-0.9600805123513265,0.9858561906006683,0.0001486031203409155,0.34803551299093216,6092.73,4594.38,6108.48,121.2,((1)*((7)+(9))),((((x)*(x))*((x)+(3)))*((5)+((x)*(x)))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR,DivXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateTerminalR,AddRandomSubTreeR,86,89,90,90,2
90,x*x*x*x,25,-10,-0.038422943406090704,-0.022619358813973894,-0.038396125996601756,0.012233134790970372,241.32120000000003,642.4874000000001,245.4248,237.93759999999997,-0.959647104953601,0.29922325746401035,0.0004087707240206366,0.0037786654111214004,6105.610000000001,6043.62,6174.8,6005.04,(((x)*(1))-((x)*(x))),((((3)+(4))+((4)*((0)+(x))))-((3)+((2)+((x)*(x))))),AddXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|MultXD|MultXD,MutateNonTerminalR,MultXD,90,90,91,91,2
91,x*x*x*x,25,-10,-0.03830618677297085,0.005986349656972672,-0.03791110704483074,0.013581884720951514,259.18730000000005,350.7734,319.6424,226.38,-0.9114918311331853,0.31637320985118667,0.024311414248109703,0.01580623708341279,7963.48,5990.9,13543.52,5858.08,(((5)*((8)*(x)))*((x)-((9)*(x)))),((((x)-(6))*((2)+(2)))+((1)+((x)*(x)))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR,AddTreeWithDiv|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,ReplaceBranchXR,AddTreeWithDiv,86,91,92,92,2
92,x*x*x*x,25,-10,-0.03845513462292511,0.0030014875924405647,-0.038412929028885115,0.01330008215546054,236.3953,737.9270000000001,242.8536,228.79480000000004,-0.9599869298130964,0.4215648748062812,0.00004147816486302108,0.08746107756480598,6116.42,5968.650000000001,6122.8,4956.68,((x)-((9)-(5))),((((1)*(8))*((2)*(9)))+((x)+((x)*(x)))),AddXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateNonTerminalR,MutateTerminalR,92,92,93,93,2
93,x*x*x*x,25,-10,-0.03850476604365442,0.01144539929420991,-0.03839660175140505,0.012370745187370467,228.8007,244.68779999999998,245.352,236.7584,-0.9599738596261927,0.3165132475680117,0.00003491175533624808,0.0037040880554591953,6119.3099999999995,6064.98,6124.8,5856.88,((1)-((9)+(4))),((((4)*(7))+((x)+(7)))*((9)-((x)+((x)*(x))))),AddXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateNonTerminalR,MutateTerminalR,93,92,94,94,2
94,x*x*x*x,25,-10,-0.0384733596915436,0.009917076692532271,-0.03826053326362567,0.014448811546576547,233.6065,261.9789,266.1732,218.95120000000003,-0.946814795451575,0.37630935265231447,0.00695138059424589,0.04413323644540693,6552.799999999999,5793.24,8138.4,5344.48,(((x)-((x)*(x)))*((7)*((x)+(x)))),(((x)*((7)+(7)))+((0)+((4)*(x)))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateTerminalR,ReplaceBranchR,86,94,95,95,2
95,x*x*x*x,25,-10,-0.041038687753234875,0.013746802472132495,-0.03840052542151353,0.020854043355677133,223.61,224.9668,244.7516,164.06400000000002,-0.9599843157757155,0.5896614821591949,0.0010822504539658476,0.1676743842605337,6035.04,4802.639999999999,6123.2,3516.24,(((9)-(7))-((x)-(x))),((((3)-(0))*((2)*(9)))*((x)+((x)*(x)))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateNonTerminalR,MutateTerminalR,95,94,96,96,2
96,x*x*x*x,25,-10,-0.03830263821722651,0.013179929794424634,-0.03778174617697033,0.017598819948839554,259.7303,229.82439999999994,339.4372,191.9584,-0.8981686054110575,0.5304348637899808,0.03096933017723085,0.10719736960083734,8474.09,5353.92,15582.24,4023.76,(((x)*((7)*(5)))*((x)*((x)+(x)))),((((x)*(8))*((5)+(x)))+((2)+((8)+((7)*(x))))),SubXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,MutateTerminalR,96,96,97,97,2
97,x*x*x*x,25,-10,-0.0384235884198144,0.007054089498978391,-0.03840164684354986,0.017559422671172772,241.2225,1237.1744999999999,244.58,192.296,-0.9600258789700693,0.5478462199152306,0.0003219416271878016,0.12596143165472012,6087.37,5492.76,6116.84,3874.56,((8)-((5)+(2))),((((0)+(5))*((9)*(x)))-((6)*((2)+((x)*(x))))),AddTreeWithDiv|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithDiv,ReplaceBranchR,97,96,98,98,2
