gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
34,x*x*x*x,25,-10,-0.038400000000000004,0.010914609668203972,-0.038400000000000004,0.01169814403345968,244.832,249.23620000000003,244.832,242.52200000000002,-0.9600000000000001,0.29306626584760165,0,0.003546780605051018,6120.8,6103.32,6120.8,6057.8,((9)*((0)*(0))),(((x)+((0)-(1)))*((x)+(9))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,33,34,35,35,1
35,x*x*x*x,25,-10,-0.0383997222585283,0.011776903579364045,-0.03839947719252386,0.012607689004238478,244.8745,241.84709999999998,244.912,234.72800000000004,-0.9599738596261927,0.33028362305580977,0.000008223145596725054,0.021911475910765612,6123.05,5968.46,6124.8,5738.88,(((0)*(x))*((x)-(4))),(((x)*((9)*(x)))+((2)-((7)-(x)))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|SubXD,AddTreeWithAdd,DeleteMaliciousR,34,35,36,36,1
36,x*x*x*x,25,-10,-0.03839911776238401,0.011526236066247177,-0.038398366226637046,0.01197457848647236,244.967,243.9951,245.082,240.1532,-0.9599281139720299,0.31170528595701785,0.00003041920455661284,0.012984424172422316,6127.3,6064.96,6131.8,5898.08,(((0)*((x)*(x)))-((7)+(4))),(((3)-((x)*(x)))*((x)-(8))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,34,35,37,37,1
37,x*x*x*x,25,-10,-0.03839937916612208,0.011487095524394572,-0.0383985622794406,0.011730772821479923,244.92700000000002,244.3305,245.05200000000002,242.24239999999998,-0.9599477192523854,0.30973542207367855,0.000022872827081410474,0.012793075996368591,6124.55,6076.32,6128.8,5914.96,(((0)*(0))*((x)-(8))),(((4)*((x)+(7)))-((7)*((x)-(2)))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,34,37,38,38,1
38,x*x*x*x,25,-10,-0.03839964056986015,0.011456929066228505,-0.038399281139720305,0.011609686875665182,244.887,244.58899999999997,244.942,243.28,-0.9599803947196446,0.293766454431727,0.000008223145596725054,0.004272423861832838,6122.55,6106.38,6123.8,6051.8,((0)-((0)+(3))),(((x)-((7)*(x)))+((3)+(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,34,37,39,39,1
39,x*x*x*x,25,-10,-0.03843367925761339,0.011647123625296416,-0.03839947719252386,0.01234619190768714,239.6784,242.9592,244.912,236.96880000000002,-0.9599607894392891,0.33037698153369316,0.000019605280355494692,0.02188968332589112,6122.3,6019.26,6126.8,5738.08,((0)-((6)+(0))),(((x)+(5))*((x)*(6))),SubXD|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,SubXD,ReplaceBranchXR,39,37,40,40,1
40,x*x*x*x,25,-10,-0.0384002241537054,0.011464689489702562,-0.038399673245327406,0.011528745075340295,244.7977,244.5225,244.882,243.9736,-0.9599869298130964,0.2899154172190377,0.000006535093451831564,0.0018320694436190347,6121.3,6105.82,6122.8,6084.8,((0)+((2)-(4))),(((x)-(6))*((x)+(2))),AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchXR,40,40,41,41,1
41,x*x*x*x,25,-10,-0.03841167429094236,0.010972491924491665,-0.03839960789439289,0.012094824205986147,243.0456,248.74019999999996,244.892,239.1228,-0.9599934649065482,0.33905931997684713,0.000009571328003134534,0.026384970090454474,6120.4400000000005,6002.5599999999995,6121.8,5663.68,((0)+((x)-(3))),(((x)-(2))*((9)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,40,41,42,42,1
42,x*x*x*x,25,-10,-0.03840087635603189,0.011442458502156583,-0.038400000000000004,0.01160632597046138,244.6979,244.71299999999997,244.832,243.30879999999996,-0.9600000000000001,0.28751610433743496,0.000010456149522886093,0.0008877527319707352,6120,6113.139999999999,6120.8,6105.36,(((0)*((8)+(6)))+((8)*(x))),((x)*(8)),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,40,42,43,43,1
43,x*x*x*x,25,-10,-0.03841545092144818,0.011399735328715204,-0.038400000000000004,0.011560113523909111,242.4677,245.0791,244.832,243.7048,-0.9600000000000001,0.29018615680489956,0.000017906156057956313,0.0018258246829700071,6119.43,6094.68,6120.8,6082.48,(((4)+((0)*(4)))*((3)+((2)*(0)))),(((x)*((7)*(3)))+((x)*(0))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,42,42,44,44,1
