generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
38,0.7641239001315312,0.8853057937431339,0.8953188227448793,0.9564354096955471,0.8953188227448793,0.9564354096955471,StrategyAddToLeafR,StrategyReplaceBranchXR,38,38,(((((((5)*((9)*(8)))*((x)*(x)))*(x))*(x))*(x))*(x)),((7)*(1)),5*x*x*x,1
39,0.7774437551204259,0.8886981513504368,0.9462365591397865,0.9747623872606062,0.9462365591397865,0.9747623872606062,StrategySkipD,StrategyReplaceBranchR,39,39,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((0)+(4)),5*x*x*x,1
40,0.7777824192475192,0.8933475951228719,0.9462365591397865,0.9656012279546706,0.9462365591397865,0.9656012279546706,StrategySkipD,StrategyReplaceBranchXR,40,40,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((6)*(1)),5*x*x*x,1
41,0.7963122198380351,0.9029540623951725,0.9462365591397865,0.9604231212455966,0.9462365591397865,0.9604231212455966,StrategySkipD,StrategyReplaceBranchXR,41,41,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((0)+(6)),5*x*x*x,1
42,0.8234578938668777,0.9156800166505864,0.9462365591397865,0.9715444073956171,0.9462365591397865,0.9715444073956171,StrategySkipD,StrategyReplaceBranchXR,42,42,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((8)-(6)),5*x*x*x,1
43,0.8845255209786448,0.9499413420635962,0.9462365591397865,0.989116693780095,0.9462365591397865,0.989116693780095,StrategySkipD,StrategyReplaceBranchR,43,43,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),(((x)+(0))*((5)+(8))),5*x*x*x,1
44,0.9346295869721023,0.9792713604094885,0.9462365591397865,0.9936207533306894,0.9462365591397865,0.9936207533306894,StrategyMultXD,StrategyReplaceBranchXR,44,44,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((1)*(x)),5*x*x*x,1
45,0.9415033242536182,0.9852313997147979,0.9462365591397865,0.9936334585545119,0.9462365591397865,0.9936334585545119,StrategySkipD,StrategyReplaceBranchXR,45,45,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((6)-(8)),5*x*x*x,1
46,0.9435750017947009,0.9845259960538373,0.9462365591397865,0.9929148013962442,0.9462365591397865,0.9929148013962442,StrategySkipD,StrategyReplaceBranchXR,46,46,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),(((x)-(8))*((x)*((2)-(2)))),5*x*x*x,1
47,0.9462365591397873,0.9850794156525079,0.9462365591397865,0.9939925806451613,0.9462365591397865,0.9939925806451613,StrategyMultXD,StrategyReplaceBranchXR,47,47,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((x)+(x)),5*x*x*x,1
48,0.9462365591397873,0.9842050224995711,0.9462365591397865,0.9930868817204304,0.9462365591397865,0.9930868817204304,StrategyMultXD,StrategyReplaceBranchXR,48,48,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((6)-(9)),5*x*x*x,1
49,0.9303143275403944,0.983014185016556,0.9462365591397865,0.9916162947931619,0.9462365591397865,0.9916162947931619,StrategySkipD,StrategyReplaceBranchXR,49,49,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((x)+(7)),5*x*x*x,1
50,0.9462365591397873,0.9885403755202088,0.9462365591397865,0.9916162947931619,0.9462365591397865,0.9916162947931619,StrategySkipD,StrategyReplaceBranchXR,49,49,(((((((5)*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((x)+(7)),5*x*x*x,1
1,-0.9046248358935886,-0.0008073328538494717,-0.2605734423571672,0.09879086387342156,-0.2605734423571672,0.09879086387342156,StrategyAddToLeafR,StrategyDivXD,1,1,((((((((((((x)+(6))*(4))*(x))*((x)*(x)))+(x))-(x))-(1))+(x))+(x))-(x))*(x)),((((x)-(x))*(((x)+(6))+(x)))/(x)),5*x*x*x,1
2,-0.8252262785062541,0.07271264281082497,0.39502562871478936,0.17351834507135863,0.39502562871478936,0.17351834507135863,StrategyAddRandomSubTreeR,StrategyAddXD,2,2,((((((((6)+((8)+(6)))*(x))*((x)*(x)))*(x))*(x))-(x))*(x)),(((3)-((9)+(4)))*((6)/(x))),5*x*x*x,1
3,-0.6188350834952633,0.19843904910879492,0.246048649961852,0.3258327228218637,0.246048649961852,0.3258327228218637,StrategyAddTreeWithMult,StrategyAddToLeafR,3,3,((((((5)*((8)*(2)))*((x)*(x)))*(x))*((x)*((x)*(x))))-(x)),(((((((x)*(9))*((x)*((0)-((3)*(x)))))+(x))-(x))/(x))/(x)),5*x*x*x,1
4,-0.37963041683438703,0.3556582662681758,0.5689392051830289,0.52927639612533,0.5689392051830289,0.52927639612533,StrategyAddTreeWithAdd,StrategyMutateTerminalR,4,4,(((((((7)-((2)-((7)+(x))))*(x))*((x)*(x)))*(x))*(x))*(x)),((7)*(x)),5*x*x*x,1
5,-0.1624320369469915,0.46764265593812593,0.8814558288739269,0.5942624192940613,0.8814558288739269,0.5942624192940613,StrategyMutateTerminalR,StrategyReplaceBranchXR,5,5,((((((((((9)*(x))*((x)*(x)))*(x))*(x))*(x))-(x))-(x))*(x))+(x)),(((((8)*(0))/((9)*(5)))-(x))/(x)),5*x*x*x,1
6,0.06530651633129833,0.5716792592677349,0.9197583707589452,0.7073592918466532,0.9197583707589452,0.7073592918466532,StrategySkipD,StrategyDivXD,6,6,(((((((((5)*(x))*(((8)*(7))*(x)))*(x))*(x))*(x))-(x))*(x))+(x)),((((((x)*(9))+(x))-(x))/(x))/(x)),5*x*x*x,1
7,0.295337010175788,0.6857435905873676,0.9999999917669621,0.8102264103958374,0.9999999917669621,0.8102264103958374,StrategyAddXD,StrategyAddTreeWithSub,7,7,((((((((((((4)+(x))*(x))*((x)*(x)))*(x))*(x))*(x))*(x))-(x))*(x))*(x))+(x)),((((((x)*(7))-(x))+(x))-(x))/(x)),5*x*x*x,1
