gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
73,x*x*x*x,25,-10,0.024999601911842,0.0011114342351762317,0.05464221345768998,0.004192654554960134,44524.46333333334,360.4451333333334,134912.3232,341.58560000000006,0.970631058893928,0.08189779113841324,0.6006928653593363,0.031466364627076124,1383855.68,5913.759999999999,5210266.16,5619.52,((((x)*(x))*((9)+((x)*(x))))*((x)*((6)*((8)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,72,73,74,74,0
74,x*x*x*x,25,-10,0.028289518658625026,0.0015245760412271722,0.053710272928742614,0.007579793491046923,57216.45386666667,357.9164,175869.83759999997,320.85360000000003,0.9854332684758703,0.3844464775846295,0.6809142380776755,0.1544964666160877,2116298.96,5696.360000000001,10504758.72,3767.68,((((2)+(x))*((x)*((x)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(6))*((8)*(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddToLeafR,MultXD,FellTreeD,72,74,75,75,0
75,x*x*x*x,25,-10,0.027696683764258025,0.0007376762541150092,0.05574471171253526,0.0025735851522676783,57741.92399999999,362.73286666666667,139560.8368,351.49559999999997,0.9545283218246582,0.06390014377205593,0.7413190541710286,0.022498355384482763,1347769.84,6002.733333333334,3365171.6,5729.68,((((x)*(0))+((4)*((x)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(7))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,74,75,76,76,0
76,x*x*x*x,25,-10,0.025254135792112806,0.0007520228394296073,0.05310882573874226,0.002468435498627632,38444.47773333333,362.6454666666666,109796.83999999998,352.13919999999996,0.9625006810260582,0.06390014377205593,0.5110501511932592,0.028032077193164067,921584.5066666667,5970.833333333333,4080607.44,5729.68,((((x)*(x))*((x)*((9)*(6))))+((4)*((x)*((x)-(x))))),(((x)*(7))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,AddXD,75,76,77,77,0
77,x*x*x*x,25,-10,0.030109887473172007,0.0008344123795584593,0.05491082412204369,0.0025672461116193973,61162.95106666666,362.14073333333334,147691.4464,351.5344,0.9601512110240198,0.054881714808521775,0.6688950884703914,0.023458767611974796,1632166.16,5971.553333333334,3840016.32,5784.88,((((x)*(9))+((4)*((x)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(6))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,77,77,78,78,0
78,x*x*x*x,25,-10,0.03145168557007559,0.0008161586189652397,0.055140481006628515,0.0038966148215919512,59193.63606666667,362.25246666666663,195243.5904,343.3976,0.9819753754085695,0.07291857273559021,0.46176209838013355,0.022449704895565324,1805886.6866666665,5954.193333333334,8489497.2,5674.48,((((x)*(7))*((x)+((7)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(8))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|SubXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,78,78,79,79,0
79,x*x*x*x,25,-10,0.02611884961547611,-0.019507515179580045,0.05526310931676769,-0.01698549209253692,77945.31706666666,630.6956,268361.8088,615.2588,0.9869777801339904,0.07291857273559021,0.10351998298737437,0.02772889904951012,3265792.72,6017.186666666666,11750684.72,5674.48,((((x)*(2))+((x)*((x)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(8))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,79,79,80,80,0
80,x*x*x*x,25,-10,0.018159808915251922,-0.01943974550467893,0.054262930769629486,0.0037435629329499436,45014.6504,630.2808,117312.41359999997,344.3344,0.9565217144230731,0.07291857273559021,0.5206395576012458,0.02801052571707193,1359759.5466666666,6021.639999999999,3519458,5674.48,((((5)+(7))*((x)*((x)*(x))))*((x)*((6)*((8)-(x))))),(((x)*(8))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,ReplaceBranchXR,80,80,81,81,0
81,x*x*x*x,25,-10,0.004474261302782628,0.0008893609123400681,0.044763369129829506,0.0037408181937001687,32977.61846666666,361.80439999999993,109286.99279999999,344.3512,0.9742669269369746,0.08189779113841324,0.769881857351068,0.03198551990741602,1494526.4533333331,5896.96,5946433.2,5619.52,((((x)*(7))*((x)+((1)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,81,80,82,82,0
82,x*x*x*x,25,-10,0.005842113216825068,0.0007681482210511027,0.0353145806594538,0.0033777284015161406,42499.91213333333,362.54633333333334,116775.87120000001,346.5736,0.9684838822017727,0.08189779113841324,0.19629693932023382,0.03250567949147301,1867337.2533333332,5968.193333333334,4855293.44,5619.52,((((x)*(8))*((8)+((5)*(x))))*((x)*((x)*((x)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithSub|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,82,82,83,83,0
83,x*x*x*x,25,-10,0.03633288742913292,0.0006474773650903141,0.05337373080259773,0.0030180368579270688,51275.97779999999,363.2849333333334,134357.8096,348.7752,0.9755620645305869,0.08189779113841324,0.3178619782735501,0.03367613854352871,1759885.4666666668,5978.753333333334,6261576.4,5619.52,((((x)*(x))*((9)+((7)*(8))))*((8)*((x)*((x)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,83,83,84,84,0
84,x*x*x*x,25,-10,0.010192061918109957,0.0005216873522583739,0.040291367154085905,0.003923016599137367,48805.17933333333,364.0548666666666,161017.1216,343.23600000000005,0.9670500664829831,0.08189779113841324,0.8149362013002607,0.032997324950185765,1613541.7066666668,6031.746666666666,4644015.44,5619.52,((((x)*(4))+((7)*((x)*(x))))*((x)*((6)*((x)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,DivXD,84,84,85,85,0
85,x*x*x*x,25,-10,0.017118202120658076,0.0006557445694466363,0.05430484219143003,0.003291073062344792,35934.30293333333,363.2343333333333,108306.55679999999,347.1039999999999,0.942210359849314,0.08189779113841324,0.1873067046779748,0.03936848787218676,834374.32,5957.2733333333335,2647879.44,5619.52,((((x)+(x))*((x)*((x)*(x))))*((9)+((x)*((x)-(x))))),(((x)*(9))*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|DivXD|MultXD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,85,85,86,86,0
